id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
244,punk-rock,punk_rock,generation-viii,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Boosts sound-based moves and halves damage from the same moves.,"toxtricity-amped, toxtricity-low-key, toxtricity-amped-gmax, toxtricity-low-key-gmax",https://pokeapi.co/api/v2/ability/244/
245,sand-spit,sand_spit,generation-viii,The Pokémon creates a sandstorm when it’s hit by an attack.,Creates a sandstorm when hit by an attack.,"silicobra, sandaconda, sandaconda-gmax",https://pokeapi.co/api/v2/ability/245/
246,ice-scales,ice_scales,generation-viii,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",Halves damage from Special moves.,"snom, frosmoth",https://pokeapi.co/api/v2/ability/246/
247,ripen,ripen,generation-viii,Ripens Berries and doubles their effect.,Doubles the effect of berries.,"applin, flapple, appletun, flapple-gmax, appletun-gmax",https://pokeapi.co/api/v2/ability/247/
248,ice-face,ice_face,generation-viii,"When an Eiscue that's in its Ice Face form is hit by a physical move, it takes no damage and changes into its Noice Face form. If a hailstorm or snowstorm begins while Eiscue is in its Noice Face form, or if it is sent out in its Noice Face form during hail, it will immediately revert to its Ice Face form.","The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it snows.","eiscue-ice, eiscue-noice",https://pokeapi.co/api/v2/ability/248/
249,power-spot,power_spot,generation-viii," ""The power of moves used by the allies of the Pokémon with Power Spot is increased by 30%.""",Just being next to the Pokémon powers up moves.,stonjourner,https://pokeapi.co/api/v2/ability/249/
250,mimicry,mimicry,generation-viii,Changes the Pokémon’s type depending on the terrain.,Changes type depending on the terrain.,stunfisk-galar,https://pokeapi.co/api/v2/ability/250/
251,screen-cleaner,screen_cleaner,generation-viii,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","Nullifies effects of Light Screen, Reflect, and Aurora Veil.","mr-rime, mr-mime-galar",https://pokeapi.co/api/v2/ability/251/
252,steely-spirit,steely_spirit,generation-viii,Powers up the Steel-type moves of the Pokémon and its allies.,Powers up ally Pokémon's Steel-type moves.,perrserker,https://pokeapi.co/api/v2/ability/252/
253,perish-body,perish_body,generation-viii,"When the Pokémon with Perish Body is hit with a contact move, both the attacker and the Pokémon with Perish Body will faint in three turns.","When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",cursola,https://pokeapi.co/api/v2/ability/253/
254,wandering-spirit,wandering_spirit,generation-viii,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,Swaps abilities with opponents on contact.,"runerigus, yamask-galar",https://pokeapi.co/api/v2/ability/254/
255,gorilla-tactics,gorilla_tactics,generation-viii,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,"darmanitan-galar-standard, darmanitan-galar-zen",https://pokeapi.co/api/v2/ability/255/
256,neutralizing-gas,neutralizing_gas,generation-viii,"While the Pokémon is in the battle, the effects of all other Pokémon’s Abilities will be nullified or will not be triggered.",Neutralizes abilities of all Pokémon in battle.,"koffing, weezing, weezing-galar",https://pokeapi.co/api/v2/ability/256/
257,pastel-veil,pastel_veil,generation-viii,Prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,Prevents the Pokémon and its allies from being poisoned.,"ponyta-galar, rapidash-galar",https://pokeapi.co/api/v2/ability/257/
258,hunger-switch,hunger_switch,generation-viii,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of every turn.","Causes Morpeko to change its form each turn, alternating between Full Belly Mode and Hangry Mode","morpeko-full-belly, morpeko-hangry",https://pokeapi.co/api/v2/ability/258/
259,quick-draw,quick_draw,generation-viii,"If a Pokémon with this Ability selects a damaging move, it has a 30% chance of going first in its priority bracket.",Enables the Pokémon to move first occasionally.,slowbro-galar,https://pokeapi.co/api/v2/ability/259/
260,unseen-fist,unseen_fist,generation-viii,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself.",Contact moves can strike through Protect/Detect.,"urshifu-single-strike, urshifu-rapid-strike, urshifu-single-strike-gmax, urshifu-rapid-strike-gmax",https://pokeapi.co/api/v2/ability/260/
261,curious-medicine,curious_medicine,generation-viii,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies.",Resets all stat changes upon entering battlefield.,slowking-galar,https://pokeapi.co/api/v2/ability/261/
262,transistor,transistor,generation-viii,Increases the power of Electric-type moves used by this Pokémon by 50%.,Powers up Electric-type moves.,regieleki,https://pokeapi.co/api/v2/ability/262/
263,dragons-maw,dragons_maw,generation-viii,Increases the power of Dragon-type moves used by this Pokémon by 50%.,Powers up Dragon-type moves.,regidrago,https://pokeapi.co/api/v2/ability/263/
264,chilling-neigh,chilling_neigh,generation-viii,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",Boosts Attack after knocking out a Pokémon.,glastrier,https://pokeapi.co/api/v2/ability/264/
265,grim-neigh,grim_neigh,generation-viii,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat.",Boosts Special Attack after knocking out a Pokémon.,spectrier,https://pokeapi.co/api/v2/ability/265/
266,as-one-glastrier,as_one_glastrier,generation-viii,,,calyrex-ice,https://pokeapi.co/api/v2/ability/266/
267,as-one-spectrier,as_one_spectrier,generation-viii,,,calyrex-shadow,https://pokeapi.co/api/v2/ability/267/
