id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
177,natu,natu,generation-ii,forest,wings,green,190,70,4,False,False,False,"Because its wings aren't yet fully grown, it has tohop to get around. It is always star­ ing at something.",https://pokeapi.co/api/v2/pokemon-species/177
178,xatu,xatu,generation-ii,forest,wings,green,75,70,4,False,False,False,They say that it stays still and quiet because itis seeing both the past and future at the same time.,https://pokeapi.co/api/v2/pokemon-species/178
179,mareep,mareep,generation-ii,grassland,quadruped,white,235,70,4,False,False,False,"If static elec­ tricity builds in its body, itsfleece doubles in volume. Touching it will shock you.",https://pokeapi.co/api/v2/pokemon-species/179
180,flaaffy,flaaffy,generation-ii,grassland,upright,pink,120,70,4,False,False,False,"As a result of storing too much electricity, itdeveloped patches where even downy wool won't grow.",https://pokeapi.co/api/v2/pokemon-species/180
181,ampharos,ampharos,generation-ii,grassland,upright,yellow,45,70,4,False,False,False,The tail's tip shines brightly and can be seenfrom far away. It acts as a beacon for lost people.,https://pokeapi.co/api/v2/pokemon-species/181
182,bellossom,bellossom,generation-ii,grassland,humanoid,green,45,70,4,False,False,False,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",https://pokeapi.co/api/v2/pokemon-species/182
183,marill,marill,generation-ii,waters-edge,upright,blue,190,70,4,False,False,False,"The tip of its tail, which con­ tains oil that islighter than wa­ ter, lets it swim without drowning.",https://pokeapi.co/api/v2/pokemon-species/183
184,azumarill,azumarill,generation-ii,waters-edge,upright,blue,75,70,4,False,False,False,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.,https://pokeapi.co/api/v2/pokemon-species/184
185,sudowoodo,sudowoodo,generation-ii,forest,humanoid,brown,65,70,4,False,False,False,"Although it always pretends to be a tree, its composi­tion appears to be closer to a rock than a plant.",https://pokeapi.co/api/v2/pokemon-species/185
186,politoed,politoed,generation-ii,waters-edge,humanoid,green,45,70,4,False,False,False,"If POLIWAG and POLIWHIRL hear its echoing cry, theyrespond by gather­ ing from far and wide.",https://pokeapi.co/api/v2/pokemon-species/186
187,hoppip,hoppip,generation-ii,grassland,upright,pink,255,70,4,False,False,False,"To keep from being blown away by the wind, they gatherin clusters. They do enjoy gentle breezes, though.",https://pokeapi.co/api/v2/pokemon-species/187
188,skiploom,skiploom,generation-ii,grassland,upright,green,120,70,4,False,False,False,The bloom on top of its head opens and closes as thetemperature fluc­ tuates up and down.,https://pokeapi.co/api/v2/pokemon-species/188
189,jumpluff,jumpluff,generation-ii,grassland,upright,blue,45,70,4,False,False,False,"Once it catches the wind, it deft­ ly controls itscotton-puff spores to float, even around the world.",https://pokeapi.co/api/v2/pokemon-species/189
190,aipom,aipom,generation-ii,forest,upright,purple,45,70,4,False,False,False,Its tail is so powerful that it can use it to graba tree branch and hold itself up in the air.,https://pokeapi.co/api/v2/pokemon-species/190
191,sunkern,sunkern,generation-ii,grassland,ball,yellow,235,70,4,False,False,False,"It may drop out of the sky suddenly. If attacked by aSPEAROW, it will violently shake its leaves.",https://pokeapi.co/api/v2/pokemon-species/191
192,sunflora,sunflora,generation-ii,grassland,humanoid,yellow,120,70,4,False,False,False,"It converts sun­ light into energy. In the darknessafter sunset, it closes its petals and becomes still.",https://pokeapi.co/api/v2/pokemon-species/192
193,yanma,yanma,generation-ii,forest,bug-wings,red,75,70,4,False,False,False,"If it flaps its wings really fast, it can generateshock waves that will shatter win­ dows in the area.",https://pokeapi.co/api/v2/pokemon-species/193
194,wooper,wooper,generation-ii,waters-edge,legs,blue,255,70,4,False,False,False,This POKéMON lives in cold water. It will leave thewater to search for food when it gets cold outside.,https://pokeapi.co/api/v2/pokemon-species/194
195,quagsire,quagsire,generation-ii,waters-edge,upright,blue,90,70,4,False,False,False,"This carefree POKéMON has an easy-going nature.While swimming, it always bumps into boat hulls.",https://pokeapi.co/api/v2/pokemon-species/195
196,espeon,espeon,generation-ii,urban,quadruped,purple,45,70,1,False,False,False,It uses the fine hair that covers its body to senseair currents and predict its ene­ my's actions.,https://pokeapi.co/api/v2/pokemon-species/196
197,umbreon,umbreon,generation-ii,urban,quadruped,black,45,35,1,False,False,False,"When agitated, this POKéMON pro­ tects itself byspraying poisonous sweat from its pores.",https://pokeapi.co/api/v2/pokemon-species/197
198,murkrow,murkrow,generation-ii,forest,wings,black,30,35,4,False,False,False,"Feared and loathed by many, it is believed to bringmisfortune to all those who see it at night.",https://pokeapi.co/api/v2/pokemon-species/198
199,slowking,slowking,generation-ii,waters-edge,upright,pink,70,70,4,False,False,False,"It has incredible intellect and in­ tuition. Whateverthe situation, it remains calm and collected.",https://pokeapi.co/api/v2/pokemon-species/199
200,misdreavus,misdreavus,generation-ii,cave,ball,gray,45,35,4,False,False,False,It likes playing mischievous tricks such as screamingand wailing to startle people at night.,https://pokeapi.co/api/v2/pokemon-species/200
201,unown,unown,generation-ii,rare,ball,black,225,70,-1,False,False,False,Their shapes look like hieroglyphs on ancient tab­lets. It is said that the two are somehow related.,https://pokeapi.co/api/v2/pokemon-species/201
202,wobbuffet,wobbuffet,generation-ii,cave,blob,blue,45,70,4,False,False,False,"It hates light and shock. If attack­ ed, it inflatesits body to pump up its counter­ strike.",https://pokeapi.co/api/v2/pokemon-species/202
203,girafarig,girafarig,generation-ii,grassland,quadruped,yellow,60,70,4,False,False,False,"Its tail has a small brain of its own. Beware! Ifyou get close, it may react to your scent and bite.",https://pokeapi.co/api/v2/pokemon-species/203
204,pineco,pineco,generation-ii,forest,ball,gray,190,70,4,False,False,False,It likes to make its shell thicker by adding layersof tree bark. The additional weight doesn't bother it.,https://pokeapi.co/api/v2/pokemon-species/204
205,forretress,forretress,generation-ii,forest,ball,purple,75,70,4,False,False,False,Its entire body is shielded by a steel-hard shell.What lurks inside the armor is a total mystery.,https://pokeapi.co/api/v2/pokemon-species/205
206,dunsparce,dunsparce,generation-ii,cave,squiggle,yellow,190,70,4,False,False,False,"When spotted, this POKéMON escapes backward by furi­ously boring into the ground with its tail.",https://pokeapi.co/api/v2/pokemon-species/206
207,gligar,gligar,generation-ii,mountain,wings,purple,60,70,4,False,False,False,It flies straight at its target's face then clampsdown on the star­ tled victim to inject poison.,https://pokeapi.co/api/v2/pokemon-species/207
208,steelix,steelix,generation-ii,cave,squiggle,gray,25,70,4,False,False,False,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.,https://pokeapi.co/api/v2/pokemon-species/208
209,snubbull,snubbull,generation-ii,urban,humanoid,pink,190,70,6,False,False,False,"Although it looks frightening, it is actually kind andaffectionate. It is very popular among women.",https://pokeapi.co/api/v2/pokemon-species/209
210,granbull,granbull,generation-ii,urban,upright,purple,75,70,6,False,False,False,"It is actually timid and easily spooked. If at­tacked, it flails about to fend off its attacker.",https://pokeapi.co/api/v2/pokemon-species/210
211,qwilfish,qwilfish,generation-ii,sea,fish,gray,45,70,4,False,False,False,"To fire its poison spikes, it must inflate its bodyby drinking over 2.6 gallons of water all at once.",https://pokeapi.co/api/v2/pokemon-species/211
212,scizor,scizor,generation-ii,grassland,bug-wings,red,25,70,4,False,False,False,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.,https://pokeapi.co/api/v2/pokemon-species/212
213,shuckle,shuckle,generation-ii,mountain,armor,yellow,190,70,4,False,False,False,The BERRIES it stores in its vase-like shelldecompose and become a gooey liquid.,https://pokeapi.co/api/v2/pokemon-species/213
214,heracross,heracross,generation-ii,forest,humanoid,blue,45,70,4,False,False,False,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn.",https://pokeapi.co/api/v2/pokemon-species/214
215,sneasel,sneasel,generation-ii,forest,upright,black,60,35,4,False,False,False,"Its paws conceal sharp claws. If attacked, it sud­denly extends the claws and startles its enemy.",https://pokeapi.co/api/v2/pokemon-species/215
216,teddiursa,teddiursa,generation-ii,mountain,upright,brown,120,70,4,False,False,False,"If it finds honey, its crescent mark glows. It alwayslicks its paws because they are soaked with honey.",https://pokeapi.co/api/v2/pokemon-species/216
217,ursaring,ursaring,generation-ii,mountain,upright,brown,60,70,4,False,False,False,"Although it is a good climber, it prefers to snaptrees with its forelegs and eat fallen BERRIES.",https://pokeapi.co/api/v2/pokemon-species/217
218,slugma,slugma,generation-ii,mountain,squiggle,red,190,70,4,False,False,False,"It never sleeps. It has to keep moving because ifit stopped, its magma body would cool and harden.",https://pokeapi.co/api/v2/pokemon-species/218
219,magcargo,magcargo,generation-ii,mountain,squiggle,red,75,70,4,False,False,False,The shell on its back is just skin that has cooledand hardened. It breaks easily with a slight touch.,https://pokeapi.co/api/v2/pokemon-species/219
220,swinub,swinub,generation-ii,cave,quadruped,brown,225,70,4,False,False,False,It rubs its snout on the ground to find and dig upfood. It sometimes discovers hot springs.,https://pokeapi.co/api/v2/pokemon-species/220
221,piloswine,piloswine,generation-ii,cave,quadruped,brown,75,70,4,False,False,False,"Because the long hair all over its body obscures itssight, it just keeps charging repeatedly.",https://pokeapi.co/api/v2/pokemon-species/221
222,corsola,corsola,generation-ii,sea,armor,pink,60,70,6,False,False,False,It continuously sheds and grows. The tip of itshead is prized as a treasure for its beauty.,https://pokeapi.co/api/v2/pokemon-species/222
223,remoraid,remoraid,generation-ii,sea,fish,gray,190,70,4,False,False,False,It has superb ac­ curacy. The water it shoots out canstrike even moving prey from more than 300 feet.,https://pokeapi.co/api/v2/pokemon-species/223
224,octillery,octillery,generation-ii,sea,tentacles,red,75,70,4,False,False,False,It traps enemies with its suction- cupped tentaclesthen smashes them with its rock-hard head.,https://pokeapi.co/api/v2/pokemon-species/224
225,delibird,delibird,generation-ii,mountain,wings,red,45,70,4,False,False,False,It carries food all day long. There are talesabout lost people who were saved by the food it had.,https://pokeapi.co/api/v2/pokemon-species/225
226,mantine,mantine,generation-ii,sea,wings,purple,25,70,4,False,False,False,"As it majestically swims, it doesn't care if REMORAIDattach to it for scavenging its leftovers.",https://pokeapi.co/api/v2/pokemon-species/226
227,skarmory,skarmory,generation-ii,rough-terrain,wings,gray,25,70,4,False,False,False,"Its sturdy wings look heavy, but they are actuallyhollow and light, allowing it to fly freely in the sky.",https://pokeapi.co/api/v2/pokemon-species/227
228,houndour,houndour,generation-ii,rough-terrain,quadruped,black,120,35,4,False,False,False,It uses different kinds of cries for communicating withothers of its kind and for pursuing its prey.,https://pokeapi.co/api/v2/pokemon-species/228
229,houndoom,houndoom,generation-ii,rough-terrain,quadruped,black,45,35,4,False,False,False,"If you are burned by the flames it shoots from itsmouth, the pain will never go away.",https://pokeapi.co/api/v2/pokemon-species/229
230,kingdra,kingdra,generation-ii,sea,blob,blue,45,70,4,False,False,False,It is said that it usually hides in underwater caves.It can create whirlpools by yawning.,https://pokeapi.co/api/v2/pokemon-species/230
231,phanpy,phanpy,generation-ii,rough-terrain,quadruped,blue,120,70,4,False,False,False,"It swings its long snout around play­ fully, but becauseit is so strong, that can be dan­ gerous.",https://pokeapi.co/api/v2/pokemon-species/231
232,donphan,donphan,generation-ii,rough-terrain,quadruped,gray,60,70,4,False,False,False,"It has sharp, hard tusks and a rugged hide. Its TACKLEis strong enough to knock down a house.",https://pokeapi.co/api/v2/pokemon-species/232
233,porygon2,porygon2,generation-ii,urban,legs,red,45,70,-1,False,False,False,"This upgraded version of PORYGON is designed forspace exploration. It can't fly, though.",https://pokeapi.co/api/v2/pokemon-species/233
234,stantler,stantler,generation-ii,forest,quadruped,brown,45,70,4,False,False,False,The curved antlers subtly change the flow of air tocreate a strange space where real­ ity is distorted.,https://pokeapi.co/api/v2/pokemon-species/234
235,smeargle,smeargle,generation-ii,urban,upright,white,45,70,4,False,False,False,A special fluid oozes from the tip of its tail. Itpaints the fluid everywhere to mark its territory.,https://pokeapi.co/api/v2/pokemon-species/235
236,tyrogue,tyrogue,generation-ii,urban,humanoid,purple,75,70,0,True,False,False,"It is always bursting with en­ ergy. To make it­self stronger, it keeps on fighting even if it loses.",https://pokeapi.co/api/v2/pokemon-species/236
237,hitmontop,hitmontop,generation-ii,urban,upright,brown,45,70,0,False,False,False,"If you become enchanted by its smooth, elegant,dance-like kicks, you may get drilled hard.",https://pokeapi.co/api/v2/pokemon-species/237
238,smoochum,smoochum,generation-ii,urban,humanoid,pink,45,70,8,True,False,False,Its lips are the most sensitive parts on its body.It always uses its lips first to examine things.,https://pokeapi.co/api/v2/pokemon-species/238
239,elekid,elekid,generation-ii,grassland,humanoid,yellow,45,70,2,True,False,False,"It rotates its arms to generate electricity, butit tires easily, so it charges up only a little bit.",https://pokeapi.co/api/v2/pokemon-species/239
240,magby,magby,generation-ii,mountain,upright,red,45,70,2,True,False,False,"Each and every time it inhales and exhales, hotembers dribble out of its mouth and nostrils.",https://pokeapi.co/api/v2/pokemon-species/240
241,miltank,miltank,generation-ii,grassland,upright,pink,45,70,8,False,False,False,"Its milk is packed with nutrition, making it theultimate beverage for the sick or weary.",https://pokeapi.co/api/v2/pokemon-species/241
242,blissey,blissey,generation-ii,urban,humanoid,pink,30,140,8,False,False,False,Anyone who takes even one bite of BLISSEY's egg be­comes unfailingly caring and pleas­ ant to everyone.,https://pokeapi.co/api/v2/pokemon-species/242
243,raikou,raikou,generation-ii,grassland,quadruped,yellow,3,35,-1,False,True,False,The rain clouds it carries let it fire thunderboltsat will. They say that it descended with lightning.,https://pokeapi.co/api/v2/pokemon-species/243
244,entei,entei,generation-ii,grassland,quadruped,brown,3,35,-1,False,True,False,"Volcanoes erupt when it barks. Un­ able to restrainits extreme power, it races headlong around the land.",https://pokeapi.co/api/v2/pokemon-species/244
245,suicune,suicune,generation-ii,grassland,quadruped,blue,3,35,-1,False,True,False,It races around the world to purify fouled water. It dashes away with the north wind.,https://pokeapi.co/api/v2/pokemon-species/245
246,larvitar,larvitar,generation-ii,mountain,upright,green,45,35,4,False,False,False,"It feeds on soil. After it has eaten a large mountain,it will fall asleep so it can grow.",https://pokeapi.co/api/v2/pokemon-species/246
247,pupitar,pupitar,generation-ii,mountain,squiggle,gray,45,35,4,False,False,False,"Its shell is as hard as sheet rock, and it isalso very strong. Its THRASHING can topple a mountain.",https://pokeapi.co/api/v2/pokemon-species/247
248,tyranitar,tyranitar,generation-ii,mountain,upright,green,45,35,4,False,False,False,"Its body can't be harmed by any sort of attack, so itis very eager to make challenges against enemies.",https://pokeapi.co/api/v2/pokemon-species/248
249,lugia,lugia,generation-ii,rare,wings,white,3,0,-1,False,True,False,It is said that it quietly spends its time deep at thebottom of the sea because its powers are too strong.,https://pokeapi.co/api/v2/pokemon-species/249
250,ho-oh,ho_oh,generation-ii,rare,wings,red,3,0,-1,False,True,False,Legends claim this POKéMON flies the world's skies con­tinuously on its magnificent seven- colored wings.,https://pokeapi.co/api/v2/pokemon-species/250
251,celebi,celebi,generation-ii,forest,humanoid,green,45,100,-1,False,False,True,This POKéMON wan­ ders across time. Grass and treesflourish in the forests in which it has appeared.,https://pokeapi.co/api/v2/pokemon-species/251
