id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
290,opportunist,opportunist,generation-ix,"If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.",Copies stat boosts by the opponent.,espathra,https://pokeapi.co/api/v2/ability/290/
291,cud-chew,cud_chew,generation-ix,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time.",Causes the Pokémon to reuse an already consumed Berry at the end of the next turn.,"farigiraf, tauros-paldea-combat-breed, tauros-paldea-blaze-breed, tauros-paldea-aqua-breed",https://pokeapi.co/api/v2/ability/291/
292,sharpness,sharpness,generation-ix,Increases the power of all 'slicing' moves by 50%.,Powers up slicing moves.,"gallade, kleavor, veluza, samurott-hisui",https://pokeapi.co/api/v2/ability/292/
293,supreme-overlord,supreme_overlord,generation-ix,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated.",Attack and Special Attack are boosted for each party Pokémon that has been defeated.,kingambit,https://pokeapi.co/api/v2/ability/293/
294,costar,costar,generation-ix,"When the Pokémon enters a battle, it copies an ally’s stat changes.",Copies ally's stat changes on entering battle.,flamigo,https://pokeapi.co/api/v2/ability/294/
295,toxic-debris,toxic_debris,generation-ix,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.,"glimmet, glimmora",https://pokeapi.co/api/v2/ability/295/
296,armor-tail,armor_tail,generation-ix,The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies.,"Prevents the opponent from using any moves that have priority, such as Quick Attack.",farigiraf,https://pokeapi.co/api/v2/ability/296/
297,earth-eater,earth_eater,generation-ix,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.",Restores HP when hit by a Ground-type move.,orthworm,https://pokeapi.co/api/v2/ability/297/
298,mycelium-might,mycelium_might,generation-ix,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.","Status moves go last, but are not affected by the opponent's ability.","toedscool, toedscool, toedscruel, toedscruel",https://pokeapi.co/api/v2/ability/298/
299,minds-eye,minds_eye,generation-ix,Mind's Eye enables the Pokémon with this Ability to hit Ghost-type Pokémon with damage-dealing Normal- and Fighting-type moves. It also prevents other Pokémon from lowering the Pokémon's accuracy and ignores changes to the opponents' evasion.,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal- and Fighting-type moves.",ursaluna-bloodmoon,https://pokeapi.co/api/v2/ability/299/
300,supersweet-syrup,supersweet_syrup,generation-ix,"A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon.","Once per battle, when a Pokémon with Supersweet Syrup enters the battle, it lowers the evasion stat of all adjacent opponents by one stage. ","dipplin, hydrapple",https://pokeapi.co/api/v2/ability/300/
301,hospitality,hospitality,generation-ix,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP.","When a Pokémon with Hospitality enters a battle, it restores HP for an ally by 25%.","poltchageist, sinistcha",https://pokeapi.co/api/v2/ability/301/
302,toxic-chain,toxic_chain,generation-ix,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move.,May cause bad poisoning when the Pokémon hits an opponent with a move.,"okidogi, munkidori, fezandipiti",https://pokeapi.co/api/v2/ability/302/
303,embody-aspect,embody_aspect,generation-ix,"Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon","Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon",,https://pokeapi.co/api/v2/ability/303/
304,tera-shift,tera_shift,generation-ix,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form.","When Terapagos enters the battle, it turns into its Terastal Form until the end of the battle. ",terapagos,https://pokeapi.co/api/v2/ability/304/
305,tera-shell,tera_shell,generation-ix,The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.,terapagos-terastal,https://pokeapi.co/api/v2/ability/305/
306,teraform-zero,teraform_zero,generation-ix,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero.","As soon as Terapagos assumes its Stellar Form, it will immediately neutralize weather and terrain effects. ",terapagos-stellar,https://pokeapi.co/api/v2/ability/306/
307,poison-puppeteer,poison_puppeteer,generation-ix,"When a Pokémon is poisoned by any of Pecharunt's moves, it will also become confused.",Pokémon poisoned by Pecharunt's moves will also become confused.,pecharunt,https://pokeapi.co/api/v2/ability/307/
