id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
221,tangling-hair,tangling_hair,generation-vii,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","diglett-alola, dugtrio-alola",https://pokeapi.co/api/v2/ability/221/
222,receiver,receiver,generation-vii,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.",passimian,https://pokeapi.co/api/v2/ability/222/
223,power-of-alchemy,power_of_alchemy,generation-vii,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.","grimer-alola, muk-alola",https://pokeapi.co/api/v2/ability/223/
224,beast-boost,beast_boost,generation-vii,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,"nihilego, buzzwole, pheromosa, xurkitree, celesteela, kartana, guzzlord, poipole, naganadel, stakataka, blacephalon",https://pokeapi.co/api/v2/ability/224/
225,rks-system,rks_system,generation-vii,"Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.",Changes this Pokémon's type to match its held Memory.,silvally,https://pokeapi.co/api/v2/ability/225/
226,electric-surge,electric_surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to electric terrain.","When this Pokémon enters battle, it changes the terrain to Electric Terrain.","tapu-koko, pincurchin",https://pokeapi.co/api/v2/ability/226/
227,psychic-surge,psychic_surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to psychic terrain.","When this Pokémon enters battle, it changes the terrain to Psychic Terrain.","tapu-lele, indeedee-male, indeedee-female",https://pokeapi.co/api/v2/ability/227/
228,misty-surge,misty_surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to misty terrain.","When this Pokémon enters battle, it changes the terrain to Misty Terrain.","tapu-fini, weezing-galar",https://pokeapi.co/api/v2/ability/228/
229,grassy-surge,grassy_surge,generation-vii,"When this Pokémon enters battle, it changes the terrain to grassy terrain.","When this Pokémon enters battle, it changes the terrain to Grassy Terrain.","tapu-bulu, grookey, thwackey, rillaboom, rillaboom-gmax",https://pokeapi.co/api/v2/ability/229/
230,full-metal-body,full_metal_body,generation-vii,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Other Pokémon cannot lower this Pokémon's stats.,solgaleo,https://pokeapi.co/api/v2/ability/230/
231,shadow-shield,shadow_shield,generation-vii,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","When this Pokémon has full HP, regular damage from moves is halved.",lunala,https://pokeapi.co/api/v2/ability/231/
232,prism-armor,prism_armor,generation-vii,"Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Reduces super-effective damage to 0.75×.,"necrozma, necrozma-dusk, necrozma-dawn",https://pokeapi.co/api/v2/ability/232/
233,neuroforce,neuroforce,generation-vii,Increases super-effective damage dealt to 1.25×.,Increases super-effective damage dealt to 1.25×.,necrozma-ultra,https://pokeapi.co/api/v2/ability/233/
