id,name,slug,generation,cost,category,fling_power,effect,short_effect,sprite,sourceUrl
10,timer-ball,timer_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost.","Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.",images/items/timer_ball.png,https://pokeapi.co/api/v2/item/10/
11,luxury-ball,luxury_ball,,3000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon’s happiness increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,images/items/luxury_ball.png,https://pokeapi.co/api/v2/item/11/
12,premier-ball,premier_ball,,20,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.,images/items/premier_ball.png,https://pokeapi.co/api/v2/item/12/
13,dusk-ball,dusk_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  If it’s currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,images/items/dusk_ball.png,https://pokeapi.co/api/v2/item/13/
14,heal-ball,heal_ball,,300,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.  The caught Pokémon’s HP is immediately restored, PP for all its moves is restored, and any status ailment is cured.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,images/items/heal_ball.png,https://pokeapi.co/api/v2/item/14/
15,quick-ball,quick_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost.","Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.",images/items/quick_ball.png,https://pokeapi.co/api/v2/item/15/
16,cherish-ball,cherish_ball,,0,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.,images/items/cherish_ball.png,https://pokeapi.co/api/v2/item/16/
17,potion,potion,,200,healing,30,"Used on a friendly Pokémon
:   Restores 20 HP.",Restores 20 HP.,images/items/potion.png,https://pokeapi.co/api/v2/item/17/
18,antidote,antidote,,200,status-cures,30,"Used on a party Pokémon
:   Cures poison.",Cures poison.,images/items/antidote.png,https://pokeapi.co/api/v2/item/18/
19,burn-heal,burn_heal,,200,status-cures,30,"Used on a party Pokémon
:   Cures a burn.",Cures a burn.,images/items/burn_heal.png,https://pokeapi.co/api/v2/item/19/
20,ice-heal,ice_heal,,200,status-cures,30,"Used on a party Pokémon
:   Cures freezing.",Cures freezing.,images/items/ice_heal.png,https://pokeapi.co/api/v2/item/20/
21,awakening,awakening,,200,status-cures,30,"Used on a party Pokémon
:   Cures sleep.",Cures sleep.,images/items/awakening.png,https://pokeapi.co/api/v2/item/21/
22,paralyze-heal,paralyze_heal,,200,status-cures,30,"Used on a party Pokémon
:   Cures paralysis.",Cures paralysis.,images/items/paralyze_heal.png,https://pokeapi.co/api/v2/item/22/
23,full-restore,full_restore,,3000,healing,30,"Used on a party Pokémon
:   Restores HP to full and cures any status ailment and confusion.",Restores HP to full and cures any status ailment and confusion.,images/items/full_restore.png,https://pokeapi.co/api/v2/item/23/
24,max-potion,max_potion,,2500,healing,30,"Used on a party Pokémon
:   Restores HP to full.",Restores HP to full.,images/items/max_potion.png,https://pokeapi.co/api/v2/item/24/
25,hyper-potion,hyper_potion,,1500,healing,30,"Used on a party Pokémon
:   Restores 200 HP.",Restores 200 HP.,images/items/hyper_potion.png,https://pokeapi.co/api/v2/item/25/
26,super-potion,super_potion,,700,healing,30,"Used on a party Pokémon
:   Restores 50 HP.",Restores 50 HP.,images/items/super_potion.png,https://pokeapi.co/api/v2/item/26/
27,full-heal,full_heal,,400,status-cures,30,"Used on a party Pokémon
:   Cures any status ailment and confusion.",Cures any status ailment and confusion.,images/items/full_heal.png,https://pokeapi.co/api/v2/item/27/
28,revive,revive,,2000,revival,30,"Used on a party Pokémon
:   Revives the Pokémon and restores half its HP.",Revives with half HP.,images/items/revive.png,https://pokeapi.co/api/v2/item/28/
29,max-revive,max_revive,,4000,revival,30,"Used on a party Pokémon
:   Revives the Pokémon and restores its HP to full.",Revives with full HP.,images/items/max_revive.png,https://pokeapi.co/api/v2/item/29/
30,fresh-water,fresh_water,,200,healing,30,"Used on a party Pokémon
:   Restores 50 HP.",Restores 50 HP.,images/items/fresh_water.png,https://pokeapi.co/api/v2/item/30/
31,soda-pop,soda_pop,,300,healing,30,"Used on a party Pokémon
:   Restores 60 HP.",Restores 60 HP.,images/items/soda_pop.png,https://pokeapi.co/api/v2/item/31/
32,lemonade,lemonade,,400,healing,30,"Used on a party Pokémon
:   Restores 80 HP.",Restores 80 HP.,images/items/lemonade.png,https://pokeapi.co/api/v2/item/32/
33,moomoo-milk,moomoo_milk,,600,healing,30,"Used on a party Pokémon
:   Restores 100 HP.",Restores 100 HP.,images/items/moomoo_milk.png,https://pokeapi.co/api/v2/item/33/
34,energy-powder,energy_powder,,500,healing,30,"Used on a party Pokémon
:   Restores 50 HP.  Decreases happiness by 5/5/10.","Restores 50 HP, but lowers happiness.",images/items/energy_powder.png,https://pokeapi.co/api/v2/item/34/
35,energy-root,energy_root,,1200,healing,30,"Used on a party Pokémon
:   Restores 200 HP.  Decreases happiness by 10/10/15.","Restores 200 HP, but lowers happiness.",images/items/energy_root.png,https://pokeapi.co/api/v2/item/35/
36,heal-powder,heal_powder,,300,status-cures,30,"Used on a party Pokémon
:   Cures any status ailment.  Decreases happiness by 5/5/10.","Cures any status ailment, but lowers happiness.",images/items/heal_powder.png,https://pokeapi.co/api/v2/item/36/
37,revival-herb,revival_herb,,2800,revival,30,"Used on a party Pokémon
:   Revives a fainted Pokémon and restores its HP to full.  Decreases happiness by 10/10/15.","Revives with full HP, but lowers happiness.",images/items/revival_herb.png,https://pokeapi.co/api/v2/item/37/
38,ether,ether,,1200,pp-recovery,30,"Used on a party Pokémon
:   Restores 10 PP for a selected move.",Restores 10 PP for one move.,images/items/ether.png,https://pokeapi.co/api/v2/item/38/
39,max-ether,max_ether,,2000,pp-recovery,30,"Used on a party Pokémon
:   Restores PP to full for a selected move.",Restores PP to full for one move.,images/items/max_ether.png,https://pokeapi.co/api/v2/item/39/
40,elixir,elixir,,3000,pp-recovery,30,"Used on a party Pokémon
:   Restores 10 PP for each move.",Restores 10 PP for each move.,images/items/elixir.png,https://pokeapi.co/api/v2/item/40/
41,max-elixir,max_elixir,,4500,pp-recovery,30,"Used on a party Pokémon
:   Restores PP to full for each move.",Restores PP to full for each move.,images/items/max_elixir.png,https://pokeapi.co/api/v2/item/41/
42,lava-cookie,lava_cookie,,350,status-cures,30,"Used on a party Pokémon
:   Cures any status ailment and confusion.",Cures any status ailment and confusion.,images/items/lava_cookie.png,https://pokeapi.co/api/v2/item/42/
43,berry-juice,berry_juice,,200,healing,30,"Used on a party Pokémon
:   Restores 20 HP.",Restores 20 HP.,images/items/berry_juice.png,https://pokeapi.co/api/v2/item/43/
44,sacred-ash,sacred_ash,,50000,revival,30,"Used
:   Revives all fainted Pokémon in the party and restores their HP to full.",Revives all fainted Pokémon with full HP.,images/items/sacred_ash.png,https://pokeapi.co/api/v2/item/44/
45,hp-up,hp_up,,10000,vitamins,30,"Used on a party Pokémon
:   Increases HP effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises HP effort and happiness.,images/items/hp_up.png,https://pokeapi.co/api/v2/item/45/
46,protein,protein,,10000,vitamins,30,"Used on a party Pokémon
:   Increases Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises Attack effort and happiness.,images/items/protein.png,https://pokeapi.co/api/v2/item/46/
47,iron,iron,,10000,vitamins,30,"Used on a party Pokémon
:   Increases Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises Defense effort and happiness.,images/items/iron.png,https://pokeapi.co/api/v2/item/47/
48,carbos,carbos,,10000,vitamins,30,"Used on a party Pokémon
:   Increases Speed effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises Speed effort and happiness.,images/items/carbos.png,https://pokeapi.co/api/v2/item/48/
49,calcium,calcium,,10000,vitamins,30,"Used on a party Pokémon
:   Increases Special Attack effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises Special Attack effort and happiness.,images/items/calcium.png,https://pokeapi.co/api/v2/item/49/
50,rare-candy,rare_candy,,10000,vitamins,30,"Used on a party Pokémon
:   Increases level by 1.  Increases happiness by 5/3/2.",Causes a level-up and raises happiness.,images/items/rare_candy.png,https://pokeapi.co/api/v2/item/50/
51,pp-up,pp_up,,10000,vitamins,30,"Used on a party Pokémon
:   Increases a selected move’s max PP by 20% its original max PP, to a maximum of 1.6×.  Increases happiness by 5/3/2.",Raises a move’s max PP by 20%.,images/items/pp_up.png,https://pokeapi.co/api/v2/item/51/
52,zinc,zinc,,10000,vitamins,30,"Used on a party Pokémon
:   Increases Special Defense effort by 10, but won’t increase it beyond 100.  Increases happiness by 5/3/2.",Raises Special Defense and happiness.,images/items/zinc.png,https://pokeapi.co/api/v2/item/52/
53,pp-max,pp_max,,10000,vitamins,30,"Used on a party Pokémon
:   Increases a selected move’s max PP to 1.6× its original max PP.  Increases happiness by 5/3/2.",Raises a move’s max PP by 60%.,images/items/pp_max.png,https://pokeapi.co/api/v2/item/53/
54,old-gateau,old_gateau,,350,status-cures,30,"Used on a party Pokémon
:   Cures any status ailment and confusion.",Cures any status ailment and confusion.,images/items/old_gateau.png,https://pokeapi.co/api/v2/item/54/
55,guard-spec,guard_spec,,1500,stat-boosts,30,"Used on a party Pokémon in battle
:   Protects the target’s stats from being lowered for the next five turns.  Increases happiness by 1/1/0.",Prevents stat changes in battle for five turns in battle.  Raises happiness.,images/items/guard_spec.png,https://pokeapi.co/api/v2/item/55/
56,dire-hit,dire_hit,,1000,stat-boosts,30,"Used on a party Pokémon in battle
:   Increases the target’s critical hit chance by one stage until it leaves the field.  Increases happiness by 1/1/0.",Increases the chance of a critical hit in battle.  Raises happiness.,images/items/dire_hit.png,https://pokeapi.co/api/v2/item/56/
57,x-attack,x_attack,,1000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s Attack by one stage.  Increases happiness by 1/1/0.",Raises Attack by one stage in battle.  Raises happiness.,images/items/x_attack.png,https://pokeapi.co/api/v2/item/57/
58,x-defense,x_defense,,2000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s Defense by one stage.  Increases happiness by 1/1/0.",Raises Defense by one stage in battle.  Raises happiness.,images/items/x_defense.png,https://pokeapi.co/api/v2/item/58/
59,x-speed,x_speed,,1000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s Speed by one stage.  Increases happiness by 1/1/0.",Raises Speed by one stage in battle.  Raises happiness.,images/items/x_speed.png,https://pokeapi.co/api/v2/item/59/
60,x-accuracy,x_accuracy,,1000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s accuracy by one stage.  Increases happiness by 1/1/0.",Raises accuracy by one stage in battle.  Raises happiness.,images/items/x_accuracy.png,https://pokeapi.co/api/v2/item/60/
61,x-sp-atk,x_sp_atk,,1000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s Special Attack by one stage.  Increases happiness by 1/1/0.",Raises Special Attack by one stage in battle.  Raises happiness.,images/items/x_sp_atk.png,https://pokeapi.co/api/v2/item/61/
62,x-sp-def,x_sp_def,,2000,stat-boosts,30,"Used on a party Pokémon in battle
:   Raises the target’s Special Defense by one stage.  Increases happiness by 1/1/0.",Raises Special Defense by one stage in battle.  Raises happiness.,images/items/x_sp_def.png,https://pokeapi.co/api/v2/item/62/
63,poke-doll,poke_doll,,300,spelunking,30,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",Ends a wild battle.,images/items/poke_doll.png,https://pokeapi.co/api/v2/item/63/
64,fluffy-tail,fluffy_tail,,100,spelunking,30,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles.",Ends a wild battle.,images/items/fluffy_tail.png,https://pokeapi.co/api/v2/item/64/
65,blue-flute,blue_flute,,20,flutes,30,"Used on a party Pokémon
:   Cures sleep.",Cures sleep.,images/items/blue_flute.png,https://pokeapi.co/api/v2/item/65/
66,yellow-flute,yellow_flute,,20,flutes,30,"Used on a party Pokémon in battle
:   Cures confusion.",Cures confusion.,images/items/yellow_flute.png,https://pokeapi.co/api/v2/item/66/
67,red-flute,red_flute,,20,flutes,30,"Used on a party Pokémon in battle
:   Cures attraction.",Cures attraction.,images/items/red_flute.png,https://pokeapi.co/api/v2/item/67/
68,black-flute,black_flute,,20,spelunking,30,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%.",Halves the wild Pokémon encounter rate.,images/items/black_flute.png,https://pokeapi.co/api/v2/item/68/
69,white-flute,white_flute,,20,spelunking,30,"Used outside of battle
:   Doubles the wild Pokémon encounter rate.",Doubles the wild Pokémon encounter rate.,images/items/white_flute.png,https://pokeapi.co/api/v2/item/69/
70,shoal-salt,shoal_salt,,20,collectibles,30,No effect.,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.,images/items/shoal_salt.png,https://pokeapi.co/api/v2/item/70/
71,shoal-shell,shoal_shell,,20,collectibles,30,No effect.,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.,images/items/shoal_shell.png,https://pokeapi.co/api/v2/item/71/
72,red-shard,red_shard,,1000,collectibles,30,"No effect.

In Diamond and Pearl, trade ten for a sunny day TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a cheri berry, a leppa berry, and a pecha berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a persim berry, a pomeg berry, and a razz berry with the Juggler near the pal park entrance in fuchsia city.",No effect. Can be traded for items or moves.,images/items/red_shard.png,https://pokeapi.co/api/v2/item/72/
73,blue-shard,blue_shard,,1000,collectibles,30,"No effect.

In Diamond and Pearl, trade ten for a rain dance TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for a chesto berry, an oran berry, and a wiki berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a bluk berry, a cornn berry, and a kelpsy berry with the Juggler near the pal park entrance in fuchsia city.",No effect. Can be traded for items or moves.,images/items/blue_shard.png,https://pokeapi.co/api/v2/item/73/
74,yellow-shard,yellow_shard,,1000,collectibles,30,"No effect.

In Diamond and Pearl, trade ten for a sandstorm TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aspear berry, a iapapa berry, and a sitrus berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a grepa berry, a nomel berry, and a pinap berry with the Juggler near the pal park entrance in fuchsia city.",No effect. Can be traded for items or moves.,images/items/yellow_shard.png,https://pokeapi.co/api/v2/item/74/
75,green-shard,green_shard,,1000,collectibles,30,"No effect.

In Diamond and Pearl, trade ten for a hail TM in the house midway along the southern section of sinnoh route 212.

In Platinum, trade to move tutors on sinnoh route 212, in snowpoint city, and in the survival area.  Eight shards total are required per tutelage, but the particular combination of colors varies by move.

In HeartGold and SoulSilver, trade one for an aguav berry, a lum berry, and a rawst berry with the Juggler near the Pokémon Center in violet city.

In HeartGold and SoulSilver, trade one for a durin berry, a hondew berry, and a wepear berry with the Juggler near the pal park entrance in fuchsia city.",No effect. Can be traded for items or moves.,images/items/green_shard.png,https://pokeapi.co/api/v2/item/75/
76,super-repel,super_repel,,700,spelunking,30,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 200 steps.","For 200 steps, prevents wild encounters of level lower than your party’s lead Pokémon.",images/items/super_repel.png,https://pokeapi.co/api/v2/item/76/
77,max-repel,max_repel,,900,spelunking,30,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 250 steps.","For 250 steps, prevents wild encounters of level lower than your party’s lead Pokémon.",images/items/max_repel.png,https://pokeapi.co/api/v2/item/77/
78,escape-rope,escape_rope,,300,spelunking,30,"Used outside of battle
:   Transports the trainer to the last-entered dungeon entrance.  Cannot be used outside, in buildings, or in distortion world, sinnoh hall of origin 1, spear pillar, or turnback cave.",Transports user to the outside entrance of a cave.,images/items/escape_rope.png,https://pokeapi.co/api/v2/item/78/
79,repel,repel,,400,spelunking,30,"Used outside of battle
:   Trainer will skip encounters with wild Pokémon of a lower level than the lead party Pokémon.  This effect wears off after the trainer takes 100 steps.","For 100 steps, prevents wild encounters of level lower than your party’s lead Pokémon.",images/items/repel.png,https://pokeapi.co/api/v2/item/79/
80,sun-stone,sun_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves a cottonee into whimsicott, a gloom into bellossom, a petilil into lilligant, or a sunkern into sunflora.","Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora.",images/items/sun_stone.png,https://pokeapi.co/api/v2/item/80/
81,moon-stone,moon_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves a clefairy into clefable, a jigglypuff into wigglytuff, a munna into musharna, a nidorina into nidoqueen, a nidorino into nidoking, or a skitty into delcatty.","Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty.",images/items/moon_stone.png,https://pokeapi.co/api/v2/item/81/
82,fire-stone,fire_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves an eevee into flareon, a growlithe into arcanine, a pansear into simisear, or a vulpix into ninetales.","Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales.",images/items/fire_stone.png,https://pokeapi.co/api/v2/item/82/
83,thunder-stone,thunder_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves an eelektrik into eelektross, an eevee into jolteon, or a pikachu into raichu.","Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu.",images/items/thunder_stone.png,https://pokeapi.co/api/v2/item/83/
84,water-stone,water_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves an eevee into vaporeon, a lombre into ludicolo, a panpour into simipour, a poliwhirl into poliwrath, a shellder into cloyster, or a staryu into starmie.","Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie.",images/items/water_stone.png,https://pokeapi.co/api/v2/item/84/
85,leaf-stone,leaf_stone,,3000,evolution,30,"Used on a party Pokémon
:   Evolves an exeggcute into exeggutor, a gloom into vileplume, a nuzleaf into shiftry, a pansage into simisage, or a weepinbell into victreebel.","Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel.",images/items/leaf_stone.png,https://pokeapi.co/api/v2/item/85/
86,tiny-mushroom,tiny_mushroom,,500,loot,30,Vendor trash.,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars.",images/items/tiny_mushroom.png,https://pokeapi.co/api/v2/item/86/
87,big-mushroom,big_mushroom,,5000,loot,30,Vendor trash.,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars.",images/items/big_mushroom.png,https://pokeapi.co/api/v2/item/87/
88,pearl,pearl,,2000,loot,30,Vendor trash.,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars.",images/items/pearl.png,https://pokeapi.co/api/v2/item/88/
89,big-pearl,big_pearl,,8000,loot,30,Vendor trash.,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars.",images/items/big_pearl.png,https://pokeapi.co/api/v2/item/89/
90,stardust,stardust,,3000,loot,30,Vendor trash.,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars.",images/items/stardust.png,https://pokeapi.co/api/v2/item/90/
91,star-piece,star_piece,,12000,loot,30,Vendor trash.,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars.",images/items/star_piece.png,https://pokeapi.co/api/v2/item/91/
92,nugget,nugget,,10000,loot,30,Vendor trash.,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars.",images/items/nugget.png,https://pokeapi.co/api/v2/item/92/
93,heart-scale,heart_scale,,100,collectibles,30,Trade one to the Move Relearner near the shore in pastoria city or with the Move Deleter in blackthorn city to teach one party Pokémon a prior level-up move.,No effect. Can be traded for prior Level-up moves.,images/items/heart_scale.png,https://pokeapi.co/api/v2/item/93/
94,honey,honey,,900,dex-completion,30,"Used outside of battle
:   Immediately triggers a wild Pokémon battle, as long as the trainer is somewhere with wild Pokémon—i.e., in tall grass, in a cave, or surfing.

Can be smeared on sweet-smelling trees to attract tree-dwelling Pokémon after six hours.",,images/items/honey.png,https://pokeapi.co/api/v2/item/94/
95,growth-mulch,growth_mulch,,200,mulch,30,"Used on a patch of soil
:   Plant’s growth stages will each last 25% less time.  Dries soil out more quickly.","Growing time of berries is reduced, but the soil dries out faster.",images/items/growth_mulch.png,https://pokeapi.co/api/v2/item/95/
96,damp-mulch,damp_mulch,,200,mulch,30,"Used on a patch of soil
:   Plant’s growth stages will each last 25% more time.  Dries soil out more slowly.","Growing time of berries is increased, but the soil dries out slower.",images/items/damp_mulch.png,https://pokeapi.co/api/v2/item/96/
97,stable-mulch,stable_mulch,,200,mulch,30,"Used on a patch of soil
:   Fully-grown plant will last 25% longer before dying and possibly regrowing.",Berries stay on the plant for longer than their usual time.,images/items/stable_mulch.png,https://pokeapi.co/api/v2/item/97/
98,gooey-mulch,gooey_mulch,,200,mulch,30,"Used on a path of soil
:   Plant will regrow after dying 25% more times.",Berries regrow from dead plants an increased number of times.,images/items/gooey_mulch.png,https://pokeapi.co/api/v2/item/98/
99,root-fossil,root_fossil,,7000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a lileep.,Can be revived into a Lileep.,images/items/root_fossil.png,https://pokeapi.co/api/v2/item/99/
100,claw-fossil,claw_fossil,,7000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an anorith.,Can be revived into an Anorith.,images/items/claw_fossil.png,https://pokeapi.co/api/v2/item/100/
101,helix-fossil,helix_fossil,,7000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an omanyte.,Can be revived into an Omanyte.,images/items/helix_fossil.png,https://pokeapi.co/api/v2/item/101/
102,dome-fossil,dome_fossil,,7000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a kabuto.,Can be revived into a Kabuto.,images/items/dome_fossil.png,https://pokeapi.co/api/v2/item/102/
103,old-amber,old_amber,,10000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive an aerodactyl.,Can be revived into an Aerodactyl.,images/items/old_amber.png,https://pokeapi.co/api/v2/item/103/
104,armor-fossil,armor_fossil,,7000,dex-completion,100,Give to a scientist in the mining museum in oreburgh city or the Museum of Science in pewter city to receive a shieldon.,Can be revived into a Shieldon.,images/items/armor_fossil.png,https://pokeapi.co/api/v2/item/104/
