id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
273,wish,wish,normal,None,None,10,0,status,user,generation-iii,"At the end of the next turn, user will be healed for half its max HP.  If the user is switched out, its replacement will be healed instead for half of the user’s max HP.  If the user faints or is forcefully switched by roar or whirlwind, this effect will not activate.",User will recover half its max HP at the end of the next turn.,https://pokeapi.co/api/v2/move/273/
274,assist,assist,normal,None,None,20,0,status,user,generation-iii,"Uses a move from another Pokémon in the user’s party, both selected at random.  Moves from fainted Pokémon can be used.  If there are no eligible Pokémon or moves, this move will fail.

This move will not select assist, chatter, circle throw, copycat, counter, covet, destiny bond, detect, dig, dive, dragon tail, endure, feint, fly focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, phantom force protect, quick guard, roar shadow force, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, whirlwind, or wide guard.

This move cannot be copied by mirror move, nor selected by metronome or sleep talk.",Randomly selects and uses one of the trainer’s other Pokémon’s moves.,https://pokeapi.co/api/v2/move/274/
275,ingrain,ingrain,grass,None,None,20,0,status,user,generation-iii,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.",Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.,https://pokeapi.co/api/v2/move/275/
276,superpower,superpower,fighting,120,100,5,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage, then lowers the user’s Attack and Defense by one stage each.",Lowers the user’s Attack and Defense by one stage after inflicting damage.,https://pokeapi.co/api/v2/move/276/
277,magic-coat,magic_coat,psychic,None,None,15,4,status,user,generation-iii,"The first non-damaging move targeting the user this turn that inflicts major status effects, stat changes, or trapping effects will be reflected at its user.

defog, memento, and teeter dance are not reflected.

attract, flatter, gastro acid, leech seed, swagger, worry seed, and yawn are reflected.

This move cannot be copied by mirror move.",Reflects back the first effect move used on the user this turn.,https://pokeapi.co/api/v2/move/277/
278,recycle,recycle,normal,None,None,10,0,status,user,generation-iii,"User recovers the last item consumed by the user or a Pokémon in its position on the field.  The item must be used again before it can be recovered by this move again.  If the user is holding an item, this move fails.

Items taken or given away by covet, knock off, switcheroo, thief, or trick may not be recovered.",User recovers the item it last used up.,https://pokeapi.co/api/v2/move/278/
279,revenge,revenge,fighting,60,100,10,-4,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user.",Inflicts double damage if the user takes damage before attacking this turn.,https://pokeapi.co/api/v2/move/279/
280,brick-break,brick_break,fighting,75,100,15,0,physical,selected-pokemon,generation-iii,"Destroys any light screen or reflect on the target’s side of the field, then inflicts regular damage.",Destroys Reflect and Light Screen.,https://pokeapi.co/api/v2/move/280/
281,yawn,yawn,normal,None,None,10,0,status,selected-pokemon,generation-iii,"Puts the target to sleep at the end of the next turn.  Ignores accuracy and evasion modifiers.  If the target leaves the field, this effect is canceled.  If the target has a status effect when this move is used, this move will fail.

If the target is protected by safeguard when this move is used, this move will fail.

insomnia and vital spirit prevent the sleep if the target has either at the end of the next turn, but will not cause this move to fail on use.",Target sleeps at the end of the next turn.,https://pokeapi.co/api/v2/move/281/
282,knock-off,knock_off,dark,65,100,20,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.",Target drops its held item.,https://pokeapi.co/api/v2/move/282/
283,endeavor,endeavor,normal,None,100,5,0,physical,selected-pokemon,generation-iii,"Inflicts exactly enough damage to lower the target’s HP to equal the user’s.  If the target’s HP is not higher than the user’s, this move has no effect.  Type immunity applies, but other type effects are ignored.  This effect counts as damage for moves that respond to damage.",Lowers the target’s HP to equal the user’s.,https://pokeapi.co/api/v2/move/283/
284,eruption,eruption,fire,150,100,5,0,special,all-opponents,generation-iii,"Inflicts regular damage.  Power increases with the user’s remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.","Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",https://pokeapi.co/api/v2/move/284/
285,skill-swap,skill_swap,psychic,None,None,10,0,status,selected-pokemon,generation-iii,"User and target switch abilities.  Ignores accuracy and evasion modifiers.

If either Pokémon has multitype or wonder guard, this move will fail.",User and target swap abilities.,https://pokeapi.co/api/v2/move/285/
286,imprison,imprison,psychic,None,None,10,0,status,user,generation-iii,"Prevents any Pokémon on the opposing side of the field from using any move the user knows until the user leaves the field.  This effect is live; if the user obtains new moves while on the field, these moves become restricted.  If no opposing Pokémon knows any of the user’s moves when this move is used, this move will fail.",Prevents the target from using any moves that the user also knows.,https://pokeapi.co/api/v2/move/286/
287,refresh,refresh,normal,None,None,20,0,status,user,generation-iii,"Removes a burn, paralysis, or poison from the user.","Cleanses the user of a burn, paralysis, or poison.",https://pokeapi.co/api/v2/move/287/
288,grudge,grudge,ghost,None,None,5,0,status,user,generation-iii,"If the user faints before it next acts, the move that fainted it will have its PP dropped to 0.  End-of-turn damage does not trigger this effect.","If the user faints this turn, the PP of the move that fainted it drops to 0.",https://pokeapi.co/api/v2/move/288/
289,snatch,snatch,dark,None,None,10,4,status,user,generation-iii,"The next time a Pokémon uses a beneficial move on itself or itself and its ally this turn, the user of this move will steal the move and use it itself.  Moves which may be stolen by this move are identified by the ""snatchable"" flag.

If two Pokémon use this move on the same turn, the faster Pokémon will steal the first beneficial move, and the slower Pokémon will then steal it again—thus, only the slowest Pokémon using this move ultimately gains a stolen move’s effect.

If the user steals psych up, it will target the Pokémon that used psych up.  If the user was the original target of psych up, and the Pokémon that originally used it’s affected by pressure, it will only lose 1 PP.

This move cannot be copied by mirror move, nor selected by assist or metronome.","Steals the target’s move, if it’s self-targeted.",https://pokeapi.co/api/v2/move/289/
290,secret-power,secret_power,normal,70,100,20,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  Has a 30% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target’s Attack by one stage
Desert         | Lowers target’s accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target’s accuracy by one stage
Shallow water  | Lowers target’s Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target’s Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target’s accuracy by one stage
Waterfall      | Puts target to sleep
",Has a 30% chance to inflict a status effect which depends upon the terrain.,https://pokeapi.co/api/v2/move/290/
291,dive,dive,water,80,100,10,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  User dives underwater for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, surf, and whirlpool still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.","User dives underwater, dodging all attacks, and hits next turn.",https://pokeapi.co/api/v2/move/291/
292,arm-thrust,arm_thrust,fighting,15,100,20,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,https://pokeapi.co/api/v2/move/292/
293,camouflage,camouflage,normal,None,None,20,0,status,user,generation-iii,"User’s type changes according to the terrain.

Terrain        | New type
-------------- | --------------
Building       | normal
Cave           | rock
Desert         | ground
Grass          | grass
Mountain       | rock
Ocean          | water
Pond           | water
Road           | ground
Snow           | ice
Tall grass     | grass

In Pokémon Battle Revolution:

Terrain        | New type
-------------- | --------------
Courtyard      | normal
Crystal        | rock
Gateway        | water
Magma          | rock
Main Street    | normal
Neon           | normal
Stargazer      | rock
Sunny Park     | grass
Sunset         | ground
Waterfall      | grass
",User’s type changes to match the terrain.,https://pokeapi.co/api/v2/move/293/
294,tail-glow,tail_glow,bug,None,None,20,0,status,user,generation-iii,Raises the user’s Special Attack by three stages.,Raises the user’s Special Attack by three stages.,https://pokeapi.co/api/v2/move/294/
295,luster-purge,luster_purge,psychic,95,100,5,0,special,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 50% chance to lower the target’s Special Defense by one stage.,Has a 50% chance to lower the target’s Special Defense by one stage.,https://pokeapi.co/api/v2/move/295/
296,mist-ball,mist_ball,psychic,95,100,5,0,special,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 50% chance to lower the target’s Special Attack by one stage.,Has a 50% chance to lower the target’s Special Attack by one stage.,https://pokeapi.co/api/v2/move/296/
297,feather-dance,feather_dance,flying,None,100,15,0,status,selected-pokemon,generation-iii,Lowers the target’s Attack by two stages.,Lowers the target’s Attack by two stages.,https://pokeapi.co/api/v2/move/297/
298,teeter-dance,teeter_dance,normal,None,100,20,0,status,all-other-pokemon,generation-iii,Confuses all targets.,Confuses the target.,https://pokeapi.co/api/v2/move/298/
299,blaze-kick,blaze_kick,fire,85,90,10,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move. Has a 10% chance to burn the target.,Has an increased chance for a critical hit and a 10% chance to burn the target.,https://pokeapi.co/api/v2/move/299/
300,mud-sport,mud_sport,ground,None,None,15,0,status,entire-field,generation-iii,"electric moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends.",Halves all Electric-type damage.,https://pokeapi.co/api/v2/move/300/
301,ice-ball,ice_ball,ice,30,90,20,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense curl since entering the field, this move has double power.","Power doubles every turn this move is used in succession after the first, resetting after five turns.",https://pokeapi.co/api/v2/move/301/
302,needle-arm,needle_arm,grass,60,100,15,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,https://pokeapi.co/api/v2/move/302/
303,slack-off,slack_off,normal,None,None,5,0,status,user,generation-iii,Heals the user for half its max HP.,Heals the user by half its max HP.,https://pokeapi.co/api/v2/move/303/
304,hyper-voice,hyper_voice,normal,90,100,10,0,special,all-opponents,generation-iii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/304/
305,poison-fang,poison_fang,poison,50,100,15,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 50% chance to badly poison the target.,Has a 50% chance to badly poison the target.,https://pokeapi.co/api/v2/move/305/
306,crush-claw,crush_claw,normal,75,95,10,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 50% chance to lower the target’s Defense by one stage.,Has a 50% chance to lower the target’s Defense by one stage.,https://pokeapi.co/api/v2/move/306/
307,blast-burn,blast_burn,fire,150,90,5,0,special,selected-pokemon,generation-iii,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,https://pokeapi.co/api/v2/move/307/
308,hydro-cannon,hydro_cannon,water,150,90,5,0,special,selected-pokemon,generation-iii,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,https://pokeapi.co/api/v2/move/308/
309,meteor-mash,meteor_mash,steel,90,90,10,0,physical,selected-pokemon,generation-iii,Inflicts regular damage. Has a 20% chance to raise the user’s Attack one stage.,Has a 20% chance to raise the user’s Attack by one stage.,https://pokeapi.co/api/v2/move/309/
310,astonish,astonish,ghost,30,100,15,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,https://pokeapi.co/api/v2/move/310/
311,weather-ball,weather_ball,normal,50,100,10,0,special,selected-pokemon,generation-iii,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.","If there be weather, this move has doubled power and the weather’s type.",https://pokeapi.co/api/v2/move/311/
312,aromatherapy,aromatherapy,grass,None,None,5,0,status,user-and-allies,generation-iii,Removes major status effects and confusion from every Pokémon in the user’s party.,Cures the entire party of major status effects.,https://pokeapi.co/api/v2/move/312/
313,fake-tears,fake_tears,dark,None,100,20,0,status,selected-pokemon,generation-iii,Lowers the target’s Special Defense by two stages.,Lowers the target’s Special Defense by two stages.,https://pokeapi.co/api/v2/move/313/
314,air-cutter,air_cutter,flying,60,95,25,0,special,all-opponents,generation-iii,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,https://pokeapi.co/api/v2/move/314/
315,overheat,overheat,fire,130,90,5,0,special,selected-pokemon,generation-iii,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Lowers the user’s Special Attack by two stages after inflicting damage.,https://pokeapi.co/api/v2/move/315/
316,odor-sleuth,odor_sleuth,normal,None,None,40,0,status,selected-pokemon,generation-iii,Resets the target’s evasion to normal and prevents any further boosting until the target leaves the field.  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores accuracy and evasion modifiers.,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it’s a Ghost.",https://pokeapi.co/api/v2/move/316/
317,rock-tomb,rock_tomb,rock,60,95,15,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 100% chance to lower the target’s Speed by one stage.,Has a 100% chance to lower the target’s Speed by one stage.,https://pokeapi.co/api/v2/move/317/
318,silver-wind,silver_wind,bug,60,100,5,0,special,selected-pokemon,generation-iii,Inflicts regular damage. Has a 10% chance to raise all of the user’s stats one stage.,Has a 10% chance to raise all of the user’s stats by one stage.,https://pokeapi.co/api/v2/move/318/
319,metal-sound,metal_sound,steel,None,85,40,0,status,selected-pokemon,generation-iii,Lowers the target’s Special Defense by two stages.,Lowers the target’s Special Defense by two stages.,https://pokeapi.co/api/v2/move/319/
320,grass-whistle,grass_whistle,grass,None,55,15,0,status,selected-pokemon,generation-iii,Puts the target to sleep.,Puts the target to sleep.,https://pokeapi.co/api/v2/move/320/
321,tickle,tickle,normal,None,100,20,0,status,selected-pokemon,generation-iii,Lowers the target’s Attack and Defense by one stage.,Lowers the target’s Attack and Defense by one stage.,https://pokeapi.co/api/v2/move/321/
322,cosmic-power,cosmic_power,psychic,None,None,20,0,status,user,generation-iii,Raises the user’s Defense and Special Defense by one stage.,Raises the user’s Defense and Special Defense by one stage.,https://pokeapi.co/api/v2/move/322/
323,water-spout,water_spout,water,150,100,5,0,special,all-opponents,generation-iii,"Inflicts regular damage.  Power increases with the user’s remaining HP and is given by `150 * HP / max HP`, to a maximum of 150 when the user has full HP.","Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.",https://pokeapi.co/api/v2/move/323/
324,signal-beam,signal_beam,bug,75,100,15,0,special,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 10% chance to confuse the target.,Has a 10% chance to confuse the target.,https://pokeapi.co/api/v2/move/324/
325,shadow-punch,shadow_punch,ghost,60,None,20,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,https://pokeapi.co/api/v2/move/325/
326,extrasensory,extrasensory,psychic,80,100,20,0,special,selected-pokemon,generation-iii,Inflicts regular damage.  Has a 10% chance to make the target flinch.,Has a 10% chance to make the target flinch.,https://pokeapi.co/api/v2/move/326/
327,sky-uppercut,sky_uppercut,fighting,85,90,15,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.

This move can hit Pokémon under the effect of bounce, fly, or sky drop.",Inflicts regular damage and can hit Bounce and Fly users.,https://pokeapi.co/api/v2/move/327/
328,sand-tomb,sand_tomb,ground,35,85,15,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,https://pokeapi.co/api/v2/move/328/
329,sheer-cold,sheer_cold,ice,None,30,5,0,special,selected-pokemon,generation-iii,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",Causes a one-hit KO.,https://pokeapi.co/api/v2/move/329/
330,muddy-water,muddy_water,water,90,85,10,0,special,all-opponents,generation-iii,Inflicts regular damage.  Has a 30% chance to lower the target’s accuracy by one stage.,Has a 30% chance to lower the target’s accuracy by one stage.,https://pokeapi.co/api/v2/move/330/
331,bullet-seed,bullet_seed,grass,25,100,30,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,https://pokeapi.co/api/v2/move/331/
332,aerial-ace,aerial_ace,flying,60,None,20,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,https://pokeapi.co/api/v2/move/332/
333,icicle-spear,icicle_spear,ice,25,100,30,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,https://pokeapi.co/api/v2/move/333/
334,iron-defense,iron_defense,steel,None,None,15,0,status,user,generation-iii,Raises the user’s Defense by two stages.,Raises the user’s Defense by two stages.,https://pokeapi.co/api/v2/move/334/
335,block,block,normal,None,None,5,0,status,selected-pokemon,generation-iii,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",Prevents the target from leaving battle.,https://pokeapi.co/api/v2/move/335/
336,howl,howl,normal,None,None,40,0,status,user-and-allies,generation-iii,Raises the user’s Attack by one stage.,Raises the user’s Attack by one stage.,https://pokeapi.co/api/v2/move/336/
337,dragon-claw,dragon_claw,dragon,80,100,15,0,physical,selected-pokemon,generation-iii,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/337/
338,frenzy-plant,frenzy_plant,grass,150,90,5,0,special,selected-pokemon,generation-iii,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,https://pokeapi.co/api/v2/move/338/
339,bulk-up,bulk_up,fighting,None,None,20,0,status,user,generation-iii,Raises the user’s Attack and Defense by one stage each.,Raises the user’s Attack and Defense by one stage.,https://pokeapi.co/api/v2/move/339/
340,bounce,bounce,flying,85,85,5,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn.  Has a 30% chance to paralyze the target.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.","User bounces high into the air, dodging all attacks, and hits next turn.",https://pokeapi.co/api/v2/move/340/
