id,name,description,champion_ids,image,sourceUrl
10010,I Challenge You,,92,images/emotes/i_challenge_you.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10010_em_chibi_riven_dawnbringer_inventory.tft_accessories_1508.png
10011,Sparkly Swords,,777,images/emotes/sparkly_swords.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10011_em_chibi_yone_dawnbringer_inventory.tft_accessories_1508.png
10012,Bro Poke,,777,images/emotes/bro_poke.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10012_em_chibi_yone_base_inventory.tft_accessories_1509.png
10013,Catch 'Em!,,18,images/emotes/catch_em.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10013_em_chibi_tristana_dragontrainer_inventory.tft_accessories_1510.png
10014,The King Disapproves,,86,images/emotes/the_king_disapproves.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10014_em_unbound_garen_godking_inventory.tft_accessories_1511.png
10015,QiQi Strut,,,images/emotes/qiqi_strut.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10015_em_ll_qiqi_pride_inventory.tft_accessories_1511.png
10016,Bask in My Glory,,10,images/emotes/bask_in_my_glory.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10016_em_chibi_kayle_aetherwing_inventory.tft_accessories_1511.png
10017,Sweet Six Scream,,,images/emotes/sweet_six_scream.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10017_em_ll_cupcake_6thanniversary_inventory.tft_accessories_1512.png
10018,Must Nom,,233,images/emotes/must_nom.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10018_em_chibi_briar_base_inventory.tft_accessories_1512.png
10019,Minion Can't Winion,,,images/emotes/minion_can_t_winion.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10019_em_ll_minion_surrender_inventory.tft_accessories_1512.png
10020,Be Not Afraid,,10,images/emotes/be_not_afraid.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10020_em_chibi_kayle_aetherwing_inventory.tft_accessories_1512.png
10021,King of the Golden Spatula,,,images/emotes/king_of_the_golden_spatula.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10021_em_ll_minion_crowned_inventory.tft_accessories_1512.png
10022,I'm In,,,images/emotes/i_m_in.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10022_em_ll_molediver_hackmeme_inventory.tft_accessories_1513.png
10023,On Sight,,,images/emotes/on_sight.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10023_em_ll_kobuko_wakeupsamurai_inventory.tft_accessories_1513.png
10024,Heavy is the Crown,,,images/emotes/heavy_is_the_crown.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10024_em_ll_hamlet_youlooklonely_inventory.tft_accessories_1513.png
10025,Tempting Spirit,,103,images/emotes/tempting_spirit.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10025_em_chibi_ahri_prestige_fox_inventory.tft_accessories_1515.png
10027,Uwaaah!,,876,images/emotes/uwaaah.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10027_em_chibi_lillia_panichands_inventory.tft_accessories_1515.png
10028,Unbound Thresh Anime Commentator,,412,images/emotes/unbound_thresh_anime_commentator.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10028_em_unbound_thresh_animecommentator_inventory.tft_accessories_1520.png
10029,You!,,412,images/emotes/you.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10029_em_unbound_thresh_fingerswag_inventory.tft_accessories_1515.png
10030,Flustered Flower,,876,images/emotes/flustered_flower.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10030_em_chibi_lillia_fingertwiddle_inventory.tft_accessories_1516.png
10031,Please Don't Go!,,145,images/emotes/please_don_t_go.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10031_em_chibi_kaisa_dontgo_inventory.tft_accessories_1517.png
10032,Angry Ao Shin,,,images/emotes/angry_ao_shin.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10032_em_ll_aoshin_asol_curses_inventory.tft_accessories_1519.png
10033,Awakened and Enlightened,,,images/emotes/awakened_and_enlightened.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10033_em_ll_aoshin_hero_thinkies_inventory.tft_accessories_1519.png
10034,Screenshotted,,,images/emotes/screenshotted.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10034_em_ll_pengu_phonescreenshot_inventory.tft_accessories_1519.png
10035,At Last!,,,images/emotes/at_last.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10035_em_ll_whiskers_hiddenmove_inventory.tft_accessories_1519.png
10036,Waaaaaah!,,350,images/emotes/waaaaaah.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10036_em_ll_yuumi_cowboycat_inventory.tft_accessories_1519.png
10037,A Lil' Sweet Treat,,,images/emotes/a_lil_sweet_treat.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10037_em_ll_choncc_panda_enjoyingtea_inventory.tft_accessories_1520.png
10038,The T1 Twist,,555,images/emotes/the_t1_twist.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10038_em_unbound_pyke_t1_keriadance_inventory.tft_accessories_1520.png
10039,Bee Happy!,,350,images/emotes/bee_happy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10039_em_chibi_yuumi_yuubee_thumbsupcrying_inventory.tft_accessories_1520.png
10040,Grrrr…,,804,images/emotes/grrrr.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10040_em_chibi_yunara_puffedupangryface_inventory.tft_accessories_1520.png
10041,The Unforgotten Shh,,777,images/emotes/the_unforgotten_shh.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10041_em_chibi_yone_fakershhh_inventory.tft_accessories_1521.png
10042,Pushing Push-Ups,,,images/emotes/pushing_push_ups.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10042_em_ll_choncc_pushups_inventory.tft_accessories_1522.png
10043,Pengu Powerup,,,images/emotes/pengu_powerup.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10043_em_ll_pengu_powerup_inventory.tft_accessories_1522.png
10044,Meowhahaha!,,,images/emotes/meowhahaha.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10044_em_ll_whisker_happycatmeme_inventory.tft_accessories_1522.png
10045,Prudent Pengu,,,images/emotes/prudent_pengu.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10045_em_ll_pengu_readingabook_inventory.tft_accessories_1523.png
10046,Playing The Long Game,,904,images/emotes/playing_the_long_game.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10046_em_zaahen_teatime_inventory.tft_accessories_1524.png
10047,Portrait of Pengu Lisa,,,images/emotes/portrait_of_pengu_lisa.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10047_em_ll_pengu_monalisa_inventory.tft_accessories_1524.png
10048,"Cheers, Mon Ami",,,images/emotes/cheers_mon_ami.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10048_em_ll_choncc_raiseatoast_inventory.tft_accessories_1524.png
10049,Fortune's Flourish,,21,images/emotes/fortune_s_flourish.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10049_em_prestige_chibi_missfortune_bloodmoon_gunkata_inventory.tft_accessories_1524.png
10050,Ain't Nobody Bring Me Down,,103,images/emotes/ain_t_nobody_bring_me_down.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10050_em_unbound_ahri_kda_disdainfulstare_inventory.tft_accessories_1524.png
10051,No Mercy!!!,,,images/emotes/no_mercy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10051_em_ll_sprite_noxus_swinganaxe_inventory.tft_accessories_1524.png
10052,Winning Wink,,887,images/emotes/winning_wink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10052_em_chibi_gwen_crystalrose_scissorgesture_inventory.tft_accessories_1524.png
10053,Check This Out,,887,images/emotes/check_this_out.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10053_em_chibi_gwen_crystalrose_needaride_inventory.tft_accessories_1524.png
10054,The God-King Disapproves,,122,images/emotes/the_god_king_disapproves.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10054_em_unbound_darius_godking_disappointedinopponent_inventory.tft_accessories_1524.png
10055,HA-HA.,,21,images/emotes/ha_ha.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10055_em_prestige_chibi_missfortune_bloodmoon_laughingatyou_inventory.tft_accessories_1524.png
10056,You're Toast,,,images/emotes/you_re_toast.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10056_em_ll_doughcat_disguisedtoast_inventory.tft_accessories_1524.png
10057,Absolute Cinema,,,images/emotes/absolute_cinema.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10057_em_ll_choncc_absolutecinema_inventory.tft_accessories_1524.png
10058,Best I Could Do,,32,images/emotes/best_i_could_do.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10058_em_ll_amumu_xxdcatface_inventory.tft_accessories_1524.png
10059,Le Gasp,,,images/emotes/le_gasp.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10059_em_ll_dango_lemondrop_beretpoguface_inventory.tft_accessories_1524.png
10060,A Streak Is A Streak,,,images/emotes/a_streak_is_a_streak.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10060_em_ll_choncc_panda_sign8laughing_inventory.tft_accessories_1524.png
10061,Suited for Victory,,157,images/emotes/suited_for_victory.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10061_em_chibi_yasuo_greensuitfistofvictory_inventory.tft_accessories_1524.png
10062,2 Steps Ahead,,,images/emotes/2_steps_ahead.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10062_em_ll_pengu_ricehat_inventory.tft_accessories_1524.png
10063,This Can't Be,,,images/emotes/this_can_t_be.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10063_em_ll_pengu_badluck_inventory.tft_accessories_1524.png
10064,Pufflet's Prize,,,images/emotes/pufflet_s_prize.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10064_em_ll_pufflet_1stplacecelebration_inventory.tft_accessories_1524.png
10065,2025 TFT Paris Open - Competitor,,,images/emotes/2025_tft_paris_open_competitor.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10065_em_competitor_allcompetitors_inventory.tft_accessories_1524.png
10066,2025 TFT Paris Open - The Undisputed Champion,,,images/emotes/2025_tft_paris_open_the_undisputed_champion.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10066_em_competitor_firstplace_inventory.tft_accessories_1524.png
10067,Canonically…,,,images/emotes/canonically.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10067_em_ll_riversprite_lorebrariannecrit_inventory.tft_accessories_1524.png
10068,Holiday Treat,,,images/emotes/holiday_treat.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10068_em_ll_choncc_staywarmcozy_inventory.tft_accessories_1524r.png
10069,Winter is Coming,,,images/emotes/winter_is_coming.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10069_em_ll_pengu_winteriscoming_inventory.tft_accessories_1524r.png
10070,Plushy Huggy,,887,images/emotes/plushy_huggy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10070_em_chibi_gwen_huggingmicrogwen_inventory.tft_accessories_1524r.png
1030,Nice Try,,99,images/emotes/nice_try.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/lux/lux_happy_cheerful_inventory.png
1443,Re-Gifted Amumu,,32,images/emotes/re_gifted_amumu.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/snowdown/event_snowdown_amumu_sad_inventory.png
1444,Snowbells,,,images/emotes/snowbells.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/snowdown/event_snowdown_jinglebells_01_inventory.png
1445,Poro Snax,,,images/emotes/poro_snax.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/snowdown/event_snowdown_poro_love_inventory.png
1452,You're Next,,122,images/emotes/you_re_next.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/darius/darius_angry_smile_inventory.png
1457,Sad Kitten,,,images/emotes/sad_kitten.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/mcat_sad_tear_inventory.png
1459,Nice,,,images/emotes/nice.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/thumb_happy_up_inventory.png
1460,Tea Time,,51,images/emotes/tea_time.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/caitlyn/caitlyn_happy_greetings_inventory.png
1462,According to Plan,,67,images/emotes/according_to_plan.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/vayne/vayne_happy_taunt_inventory.png
1464,Clean,,114,images/emotes/clean.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/fiora/fiora_happy_cheers_inventory.png
1465,VS Order,game_summoner_emote_description_1465,92,images/emotes/vs_order.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/vs/vs_order_inventory.png
1466,VS Chaos,game_summoner_emote_description_1466,157,images/emotes/vs_chaos.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/vs/vs_chaos_inventory.png
1467,Despair,,32,images/emotes/despair.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/amumu/amumu_sad_crying_inventory.png
1468,Does Not Compute,,53,images/emotes/does_not_compute.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/blitzcrank/blitzcrank_sad_confused_inventory.png
1469,Much Love,,201,images/emotes/much_love.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/braum/braum_happy_heart_inventory.png
1473,Catch Me If You Can!,,222,images/emotes/catch_me_if_you_can.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/jinx/jinx_meme_taunt_inventory.png
1474,Let's Do This,,64,images/emotes/let_s_do_this.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/leesin/leesin_happy_cheers_inventory.png
1476,Outrageous,,44,images/emotes/outrageous.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/taric/taric_love_glamorus_inventory.png
1478,Salutations,,161,images/emotes/salutations.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/velkoz/velkoz_happy_greetings_inventory.png
1480,Come at Me,,157,images/emotes/come_at_me.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/yasuo/yasuo_meme_taunt_inventory.png
1481,Gonna Be A Blast,,115,images/emotes/gonna_be_a_blast.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/ziggs/ziggs_happy_cheers_inventory.png
1487,How Could You,,150,images/emotes/how_could_you.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/gnar/gnar_sad_pout_inventory.png
1488,Delightify,,117,images/emotes/delightify.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/lulu/lulu_happy_cheerful_inventory.png
1489,Grouchy,,78,images/emotes/grouchy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/poppy/poppy_meme_taunt_inventory.png
1490,Hoppin' Mad,,92,images/emotes/hoppin_mad.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/riven/riven_angry_battle_bunny_mad_inventory.png
1492,Scout-Approved,,17,images/emotes/scout_approved.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/teemo/teemo_happy_cheers_inventory.png
1495,Surrender at 20,,,images/emotes/surrender_at_20.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/flag_sad_white_inventory.png
1498,Peace Poro,,,images/emotes/peace_poro.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/poro_happy_cheers_inventory.png
1499,Cheeky Poro,,,images/emotes/cheeky_poro.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/poro_happy_taunt_inventory.png
1501,Angry Kitty,,,images/emotes/angry_kitty.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/mcat_angry_mad_inventory.png
1502,Excited Kitty,,,images/emotes/excited_kitty.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/mcat_happy_cute_inventory.png
1505,M'Pengu,,,images/emotes/m_pengu.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/penguin_happy_greetings_inventory.png
1506,D'Pengu,,,images/emotes/d_pengu.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/penguin_meme_dab_inventory.png
1509,Arcade Baron,,,images/emotes/arcade_baron.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/arcade/arcade_pixel_baron_inventory.png
1512,Charmed,,103,images/emotes/charmed.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/ahri/ahri_love_wink_02_inventory.png
1513,Justice Garen-teed,,86,images/emotes/justice_garen_teed.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/garen/garen_happy_proud_inventory.png
1514,You Get The Horns,,12,images/emotes/you_get_the_horns.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/alistar/angry_alistar_inventory.png
1516,Unbenched,,223,images/emotes/unbenched.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/tahmkench/tahmkench_grin_inventory.png
1600,China Masters League,,,images/emotes/china_masters_league.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/chinamasters/events_china_masters_01_inventory.png
1999,Worlds 2017 Legend,,,images/emotes/worlds_2017_legend.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/em_evnt_worlds2017_01_inventory.png
2,,,,images/emotes/2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/
2000,Worlds 2017 AFS,,,images/emotes/worlds_2017_afs.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_afs_inventory.png
2001,Worlds 2017 ahq,,,images/emotes/worlds_2017_ahq.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_ahq_inventory.png
2002,Worlds 2017 AV,,,images/emotes/worlds_2017_av.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_av_inventory.png
2003,Worlds 2017 C9,,,images/emotes/worlds_2017_c9.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_c9_inventory.png
2004,Worlds 2017 CHF,,,images/emotes/worlds_2017_chf.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_chf_inventory.png
2005,Worlds 2017 CLG,,,images/emotes/worlds_2017_clg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_clg_inventory.png
2006,Worlds 2017 DIG,,,images/emotes/worlds_2017_dig.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_dig_inventory.png
2007,Worlds 2017 DW,,,images/emotes/worlds_2017_dw.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_dw_inventory.png
2008,Worlds 2017 EDG,,,images/emotes/worlds_2017_edg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_edg_inventory.png
2009,Worlds 2017 FB,,,images/emotes/worlds_2017_fb.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2017/em_worlds2017_fb_inventory.png
