champion,skin_id,skin_name,chroma_id,name,colors,image,sourceUrl
Alistar,12022,Blackfrost Alistar,12024,Blackfrost Alistar (Turquoise),"#73BFBE, #73BFBE",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_turquoise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12024.png
Alistar,12022,Blackfrost Alistar,12025,Blackfrost Alistar (Emerald),"#2DA130, #2DA130",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12025.png
Alistar,12022,Blackfrost Alistar,12026,Blackfrost Alistar (Amethyst),"#9C68D7, #9C68D7",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12026.png
Alistar,12022,Blackfrost Alistar,12027,Blackfrost Alistar (Obsidian),"#27211C, #27211C",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12027.png
Alistar,12022,Blackfrost Alistar,12028,Blackfrost Alistar (Pearl),"#ECF9F8, #ECF9F8",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12028.png
Alistar,12029,Lunar Beast Alistar,12030,Lunar Beast Alistar (Ruby),"#D33528, #D33528",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12030.png
Alistar,12029,Lunar Beast Alistar,12031,Lunar Beast Alistar (Sapphire),"#2756CE, #2756CE",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12031.png
Alistar,12029,Lunar Beast Alistar,12032,Lunar Beast Alistar (Catseye),"#FFEE59, #FFEE59",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12032.png
Alistar,12029,Lunar Beast Alistar,12033,Lunar Beast Alistar (Amethyst),"#9C68D7, #9C68D7",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12033.png
Alistar,12029,Lunar Beast Alistar,12034,Lunar Beast Alistar (Vitality),"#88FF00, #9B1520",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_vitality.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12034.png
Alistar,12029,Lunar Beast Alistar,12035,Lunar Beast Alistar (Obsidian),"#27211C, #27211C",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12035.png
Alistar,12029,Lunar Beast Alistar,12036,Lunar Beast Alistar (Rose Quartz),"#E58BA5, #E58BA5",champions/Alistar/images/chromas/lunar_beast_alistar_lunar_beast_alistar_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12036.png
Alistar,12040,Elderwood Alistar,12041,Elderwood Alistar (Ruby),"#D33528, #D33528",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12041.png
Alistar,12040,Elderwood Alistar,12042,Elderwood Alistar (Catseye),"#FFEE59, #FFEE59",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12042.png
Alistar,12040,Elderwood Alistar,12043,Elderwood Alistar (Emerald),"#2DA130, #2DA130",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12043.png
Alistar,12040,Elderwood Alistar,12044,Elderwood Alistar (Amethyst),"#9C68D7, #9C68D7",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12044.png
Alistar,12040,Elderwood Alistar,12045,Elderwood Alistar (Sapphire),"#2756CE, #2756CE",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12045.png
Alistar,12040,Elderwood Alistar,12046,Elderwood Alistar (Rose Quartz),"#E58BA5, #E58BA5",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12046.png
Alistar,12040,Elderwood Alistar,12047,Elderwood Alistar (Pearl),"#ECF9F8, #ECF9F8",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12047.png
Alistar,12040,Elderwood Alistar,12048,Elderwood Alistar (Obsidian),"#27211C, #27211C",champions/Alistar/images/chromas/elderwood_alistar_elderwood_alistar_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12048.png
Azir,268005,Elderwood Azir,268006,Elderwood Azir (Ruby),"#D33528, #D33528",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268006.png
Azir,268005,Elderwood Azir,268007,Elderwood Azir (Sapphire),"#2756CE, #2756CE",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268007.png
Azir,268005,Elderwood Azir,268008,Elderwood Azir (Turquoise),"#73BFBE, #73BFBE",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_turquoise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268008.png
Azir,268005,Elderwood Azir,268009,Elderwood Azir (Catseye),"#FFEE59, #FFEE59",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268009.png
Azir,268005,Elderwood Azir,268010,Elderwood Azir (Emerald),"#2DA130, #2DA130",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268010.png
Azir,268005,Elderwood Azir,268011,Elderwood Azir (Pearl),"#ECF9F8, #ECF9F8",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268011.png
Azir,268005,Elderwood Azir,268012,Elderwood Azir (Emberwood),"#27211C, #971458",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_emberwood.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268012.png
Azir,268005,Elderwood Azir,268013,Elderwood Azir (Rose Quartz),"#E58BA5, #E58BA5",champions/Azir/images/chromas/elderwood_azir_elderwood_azir_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268013.png
Azir,268014,Worlds 2022 Azir,268015,Worlds 2022 Azir (Tanzanite),"#54209B, #54209B",champions/Azir/images/chromas/worlds_2022_azir_worlds_2022_azir_tanzanite.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268015.png
Azir,268014,Worlds 2022 Azir,268016,Worlds 2022 Azir (Turquoise),"#73BFBE, #73BFBE",champions/Azir/images/chromas/worlds_2022_azir_worlds_2022_azir_turquoise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268016.png
Azir,268014,Worlds 2022 Azir,268017,Worlds 2022 Azir (Obsidian),"#27211C, #27211C",champions/Azir/images/chromas/worlds_2022_azir_worlds_2022_azir_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268017.png
Azir,268014,Worlds 2022 Azir,268018,Worlds 2022 Azir (One & Only),"#DF9117, #DF9117",champions/Azir/images/chromas/worlds_2022_azir_worlds_2022_azir_one_only.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268018.png
Azir,268019,Attorney Azir,268020,Attorney Azir (Ruby),"#D33528, #D33528",champions/Azir/images/chromas/attorney_azir_attorney_azir_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268020.png
Azir,268019,Attorney Azir,268021,Attorney Azir (Rose Quartz),"#E58BA5, #E58BA5",champions/Azir/images/chromas/attorney_azir_attorney_azir_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268021.png
Azir,268019,Attorney Azir,268022,Attorney Azir (Citrine),"#DF9117, #DF9117",champions/Azir/images/chromas/attorney_azir_attorney_azir_citrine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268022.png
Azir,268019,Attorney Azir,268023,Attorney Azir (Emerald),"#2DA130, #2DA130",champions/Azir/images/chromas/attorney_azir_attorney_azir_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268023.png
Azir,268019,Attorney Azir,268024,Attorney Azir (Jasper),"#9F4A25, #9F4A25",champions/Azir/images/chromas/attorney_azir_attorney_azir_jasper.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268024.png
Azir,268019,Attorney Azir,268025,Attorney Azir (Pearl),"#ECF9F8, #ECF9F8",champions/Azir/images/chromas/attorney_azir_attorney_azir_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268025.png
Azir,268019,Attorney Azir,268026,Attorney Azir (Sapphire),"#2756CE, #2756CE",champions/Azir/images/chromas/attorney_azir_attorney_azir_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268026.png
Azir,268019,Attorney Azir,268027,Attorney Azir (Obsidian),"#27211C, #27211C",champions/Azir/images/chromas/attorney_azir_attorney_azir_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/268/268027.png
Amumu,32008,Surprise Party Amumu,32009,Surprise Party Amumu (Pearl),"#ECF9F8, #ECF9F8",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32009.png
Amumu,32008,Surprise Party Amumu,32010,Surprise Party Amumu (Citrine),"#DF9117, #DF9117",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_citrine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32010.png
Amumu,32008,Surprise Party Amumu,32011,Surprise Party Amumu (Amethyst),"#9C68D7, #9C68D7",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32011.png
Amumu,32008,Surprise Party Amumu,32012,Surprise Party Amumu (Sapphire),"#2756CE, #2756CE",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32012.png
Amumu,32008,Surprise Party Amumu,32013,Surprise Party Amumu (Rainbow),"#C1F2E1, #C1F2FF",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_rainbow.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32013.png
Amumu,32008,Surprise Party Amumu,32014,Surprise Party Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32014.png
Amumu,32008,Surprise Party Amumu,32015,Surprise Party Amumu (Aquamarine),"#6ABBEE, #6ABBEE",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_aquamarine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32015.png
Amumu,32008,Surprise Party Amumu,32016,Surprise Party Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/surprise_party_amumu_surprise_party_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32016.png
Amumu,32017,Infernal Amumu,32018,Infernal Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/infernal_amumu_infernal_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32018.png
Amumu,32017,Infernal Amumu,32019,Infernal Amumu (Emerald),"#2DA130, #2DA130",champions/Amumu/images/chromas/infernal_amumu_infernal_amumu_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32019.png
Amumu,32017,Infernal Amumu,32020,Infernal Amumu (Rose Quartz),"#E58BA5, #E58BA5",champions/Amumu/images/chromas/infernal_amumu_infernal_amumu_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32020.png
Amumu,32017,Infernal Amumu,32021,Infernal Amumu (Tanzanite),"#54209B, #54209B",champions/Amumu/images/chromas/infernal_amumu_infernal_amumu_tanzanite.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32021.png
Amumu,32017,Infernal Amumu,32022,Infernal Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/infernal_amumu_infernal_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32022.png
Amumu,32024,Pumpkin Prince Amumu,32025,Pumpkin Prince  Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32025.png
Amumu,32024,Pumpkin Prince Amumu,32026,Pumpkin Prince  Amumu (Rose Quartz),"#E58BA5, #E58BA5",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32026.png
Amumu,32024,Pumpkin Prince Amumu,32027,Pumpkin Prince  Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32027.png
Amumu,32024,Pumpkin Prince Amumu,32028,Pumpkin Prince  Amumu (Turquoise),"#73BFBE, #73BFBE",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_turquoise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32028.png
Amumu,32024,Pumpkin Prince Amumu,32029,Pumpkin Prince  Amumu (Obsidian),"#27211C, #27211C",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32029.png
Amumu,32024,Pumpkin Prince Amumu,32030,Pumpkin Prince  Amumu (Pearl),"#ECF9F8, #ECF9F8",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32030.png
Amumu,32024,Pumpkin Prince Amumu,32031,Pumpkin Prince  Amumu (Emerald),"#2DA130, #2DA130",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32031.png
Amumu,32024,Pumpkin Prince Amumu,32032,Pumpkin Prince  Amumu (Sandstone),"#DED6B0, #DED6B0",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_sandstone.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32032.png
Amumu,32024,Pumpkin Prince Amumu,32033,Pumpkin Prince  Amumu (Aquamarine),"#6ABBEE, #6ABBEE",champions/Amumu/images/chromas/pumpkin_prince_amumu_pumpkin_prince_amumu_aquamarine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32033.png
Amumu,32034,Porcelain Amumu,32035,Porcelain Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32035.png
Amumu,32034,Porcelain Amumu,32036,Porcelain Amumu (Rose Quartz),"#E58BA5, #E58BA5",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32036.png
Amumu,32034,Porcelain Amumu,32037,Porcelain Amumu (Tanzanite),"#54209B, #54209B",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_tanzanite.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32037.png
Amumu,32034,Porcelain Amumu,32038,Porcelain Amumu (Emerald),"#2DA130, #2DA130",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32038.png
Amumu,32034,Porcelain Amumu,32039,Porcelain Amumu (Aquamarine),"#6ABBEE, #6ABBEE",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_aquamarine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32039.png
Amumu,32034,Porcelain Amumu,32040,Porcelain Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32040.png
Amumu,32034,Porcelain Amumu,32041,Porcelain Amumu (Pearl),"#ECF9F8, #ECF9F8",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32041.png
Amumu,32034,Porcelain Amumu,32042,Porcelain Amumu (Obsidian),"#27211C, #27211C",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32042.png
Amumu,32034,Porcelain Amumu,32043,Porcelain Amumu (Golden Tiger),"#FF9D13, #B9FFC1",champions/Amumu/images/chromas/porcelain_amumu_porcelain_amumu_golden_tiger.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32043.png
Amumu,32044,Heartache Amumu,32045,Heartache Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32045.png
Amumu,32044,Heartache Amumu,32046,Heartache Amumu (Rose Quartz),"#E58BA5, #E58BA5",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32046.png
Amumu,32044,Heartache Amumu,32047,Heartache Amumu (Emerald),"#2DA130, #2DA130",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32047.png
Amumu,32044,Heartache Amumu,32048,Heartache Amumu (Amethyst),"#9C68D7, #9C68D7",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32048.png
Amumu,32044,Heartache Amumu,32049,Heartache Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32049.png
Amumu,32044,Heartache Amumu,32050,Heartache Amumu (Turquoise),"#73BFBE, #73BFBE",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_turquoise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32050.png
Amumu,32044,Heartache Amumu,32051,Heartache Amumu (Pearl),"#ECF9F8, #ECF9F8",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_pearl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32051.png
Amumu,32044,Heartache Amumu,32052,Heartache Amumu (Obsidian),"#27211C, #27211C",champions/Amumu/images/chromas/heartache_amumu_heartache_amumu_obsidian.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32052.png
Amumu,32053,Dumpling Darlings Amumu,32054,Dumpling Darlings Amumu (Ruby),"#D33528, #D33528",champions/Amumu/images/chromas/dumpling_darlings_amumu_dumpling_darlings_amumu_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32054.png
Amumu,32053,Dumpling Darlings Amumu,32055,Dumpling Darlings Amumu (Catseye),"#FFEE59, #FFEE59",champions/Amumu/images/chromas/dumpling_darlings_amumu_dumpling_darlings_amumu_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32055.png
Amumu,32053,Dumpling Darlings Amumu,32056,Dumpling Darlings Amumu (Sapphire),"#2756CE, #2756CE",champions/Amumu/images/chromas/dumpling_darlings_amumu_dumpling_darlings_amumu_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32056.png
Amumu,32053,Dumpling Darlings Amumu,32057,Dumpling Darlings Amumu (Emerald),"#2DA130, #2DA130",champions/Amumu/images/chromas/dumpling_darlings_amumu_dumpling_darlings_amumu_emerald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32057.png
Amumu,32053,Dumpling Darlings Amumu,32058,Dumpling Darlings Amumu (Amethyst),"#9C68D7, #9C68D7",champions/Amumu/images/chromas/dumpling_darlings_amumu_dumpling_darlings_amumu_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/32/32058.png
