champion,champion_id,slot,name,description,tooltip,cooldown,cost,range,resource,image,image_large,sourceUrl
Amumu,32,P,Cursed Touch,"Amumu's basic attacks Curse his enemies, causing them to take bonus true damage from incoming magic damage.",,,,,,champions/Amumu/images/abilities/cursed_touch.png,champions/Amumu/images/abilities/cursed_touch.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/hud/icons2d/amumu_passive.png
Amumu,32,Q,Bandage Toss,"Amumu tosses a sticky bandage at a target, stunning and damaging the target while he pulls himself to them.","Amumu launches a bandage, pulling himself to the first enemy hit, Stunning them for {{ e2 }} second, and dealing {{ totaldamage }} magic damage . This Ability has 2 charges.{{ spellmodifierdescriptionappend }}",3,50,1100,{{ cost }} {{ abilityresourcename }},champions/Amumu/images/abilities/bandage_toss.png,champions/Amumu/images/abilities/bandage_toss.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/hud/icons2d/amumu_q.png
Amumu,32,W,Despair,"Overcome by anguish, nearby enemies lose a percentage of their maximum Health each second and have their Curses refreshed.","Toggle: Amumu begins crying, dealing {{ basedamage }} plus {{ totalhealthdamage }}% max Health magic damage to nearby enemies every second and refreshing Curse .{{ spellmodifierdescriptionappend }}",1,8,300,{{ cost }} {{ abilityresourcename }} per Second,champions/Amumu/images/abilities/despair.png,champions/Amumu/images/abilities/despair.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/hud/icons2d/amumu_w.png
Amumu,32,E,Tantrum,"Permanently reduces the physical damage Amumu would take. Amumu can unleash his rage, dealing damage to surrounding enemies. Each time Amumu is hit, the cooldown on Tantrum is reduced.","Passive: Amumu takes {{ damagereduction }} reduced physical damage. Additionally, when Amumu is hit by an Attack, this Ability's Cooldown is reduced by {{ e3 }} seconds. Active: Amumu throws a tantrum, dealing {{ tantrumdamage }} magic damage to nearby enemies.{{ spellmodifierdescriptionappend }}",9/8/7/6/5,35,350,{{ cost }} {{ abilityresourcename }},champions/Amumu/images/abilities/tantrum.png,champions/Amumu/images/abilities/tantrum.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/hud/icons2d/amumu_e.png
Amumu,32,R,Curse of the Sad Mummy,"Amumu entangles surrounding enemy units in bandages, applying his Curse , damaging and stunning them.","Amumu flares out his bandages, Stunning for {{ rduration }} seconds, dealing {{ rcalculateddamage }} magic damage and applying Curse .{{ spellmodifierdescriptionappend }}",150/125/100,100/150/200,550,{{ cost }} {{ abilityresourcename }},champions/Amumu/images/abilities/curse_of_the_sad_mummy.png,champions/Amumu/images/abilities/curse_of_the_sad_mummy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/hud/icons2d/amumu_r.png
Aphelios,523,P,The Hitman and the Seer,"Aphelios wields 5 Lunari Weapons made by his sister Alune. He has access to two at a time: one main-hand and one off-hand. Each weapon has a unique Basic Attack and Ability. Attacks and abilities consume a weapon's ammo. When out of ammo, Aphelios discards the weapon and Alune summons the next of the 5.",,,,,,champions/Aphelios/images/abilities/the_hitman_and_the_seer.png,champions/Aphelios/images/abilities/the_hitman_and_the_seer.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aphelios/hud/icons2d/apheliosp.png
Aphelios,523,Q,Weapon Abilites,"Aphelios has 5 different activated abilities, based on his main-hand weapon: Calibrum (Rifle): Long range shot that marks its target for a long-range follow-up attack. Severum (Scythe Pistol): Run fast while attacking nearby enemies with both weapons. Gravitum (Cannon): Root all enemies slowed by this weapon. Infernum (Flamethrower): Blast enemies in a cone and attack them with your off-hand weapon. Crescendum (Chakram): Deploy a sentry that shoots your off-hand weapon.",{{ spellmodifierdescriptionappend }},9,60,1450,{{ cost }} {{ abilityresourcename }},champions/Aphelios/images/abilities/weapon_abilites.png,champions/Aphelios/images/abilities/weapon_abilites.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aphelios/hud/icons2d/apheliosq.png
Aphelios,523,W,Phase,"Aphelios swaps his main-hand gun with his off-hand gun, replacing his basic attack and activated ability.","Swap main-hand and off-hand weapons, equipping Gravitum .{{ spellmodifierdescriptionappend }}",0.8,0,250,No Cost,champions/Aphelios/images/abilities/phase.png,champions/Aphelios/images/abilities/phase.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aphelios/hud/icons2d/apheliosw.png
Aphelios,523,E,Weapon Queue System,Aphelios has no third ability. This slot shows the next weapon Alune will give him. Weapon order begins fixed but may change over game time -- when a weapon is out of ammo it goes to the end of the order.,{{ spellmodifierdescriptionappend }},0,0,1000,{{ cost }} {{ abilityresourcename }},champions/Aphelios/images/abilities/weapon_queue_system.png,champions/Aphelios/images/abilities/weapon_queue_system.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aphelios/hud/icons2d/calibrum_l.png
Aphelios,523,R,Moonlight Vigil,Fire a concentrated blast of moonlight that explodes on enemy champions. Applies the unique effect of Aphelios' main-hand gun.,"Aphelios fires a concentrated blast of moonlight that explodes when it hits a champion, dealing {{ maxdamage }} physical damage to surrounding enemies. Then, Aphelios attacks all champions hit with his main-hand weapon. {{ Spell_ApheliosR_WeaponMod_{{ f1 }} }}{{ spellmodifierdescriptionappend }}",120/110/100,100,1300,{{ cost }} {{ abilityresourcename }},champions/Aphelios/images/abilities/moonlight_vigil.png,champions/Aphelios/images/abilities/moonlight_vigil.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aphelios/hud/icons2d/apheliosr.png
Aatrox,266,P,Deathbringer Stance,"Periodically, Aatrox's next basic attack deals bonus magic damage and heals him, based on the target's max health.",,,,,,champions/Aatrox/images/abilities/deathbringer_stance.png,champions/Aatrox/images/abilities/deathbringer_stance.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aatrox/hud/icons2d/aatrox_passive.png
Aatrox,266,Q,The Darkin Blade,"Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.","Aatrox slams his greatsword, dealing {{ qdamage }} physical damage . If they are hit on the edge, they are briefly Knocked Up and they take {{ qedgedamage }} instead. This Ability can be Recast twice, each one changing shape and dealing 25% more damage than the previous one.{{ spellmodifierdescriptionappend }}",14/12/10/8/6,0,25000,No Cost,champions/Aatrox/images/abilities/the_darkin_blade.png,champions/Aatrox/images/abilities/the_darkin_blade.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aatrox/hud/icons2d/aatrox_q.png
Aatrox,266,W,Infernal Chains,"Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.","Aatrox fires a chain, Slowing the first enemy hit by {{ wslowpercentage*-100 }}% for {{ wslowduration }} seconds and dealing {{ wdamage }} physical damage . Champions and large jungle monsters have {{ wslowduration }} seconds to leave the impact area or be Pulled back to the center and damaged again for the same amount.{{ spellmodifierdescriptionappend }}",20/18/16/14/12,0,825,No Cost,champions/Aatrox/images/abilities/infernal_chains.png,champions/Aatrox/images/abilities/infernal_chains.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aatrox/hud/icons2d/aatrox_w.png
Aatrox,266,E,Umbral Dash,"Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.",Passive: Aatrox heals for {{ totalevamp }} of the damage he deals to Champions. Active: Aatrox dashes. He can use this Ability while winding up his other Abilities.{{ spellmodifierdescriptionappend }},9/8/7/6/5,0,25000,No Cost,champions/Aatrox/images/abilities/umbral_dash.png,champions/Aatrox/images/abilities/umbral_dash.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aatrox/hud/icons2d/aatrox_e.png
Aatrox,266,R,World Ender,"Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and Move Speed. If he gets a takedown, this effect is extended.","Aatrox reveals his true demonic form, Fearing nearby minions for {{ rminionfearduration }} seconds and gaining {{ rmovementspeedbonus*100 }}% Move Speed decaying over {{ rduration }} seconds. He also gains {{ rtotaladamp*100 }}% Attack Damage and increases self-healing by {{ rhealingamp*100 }}% for the duration. Champion takedowns extend the duration of this effect by {{ rextension }} seconds and refresh the Move Speed effect.{{ spellmodifierdescriptionappend }}",120/100/80,0,25000,No Cost,champions/Aatrox/images/abilities/world_ender.png,champions/Aatrox/images/abilities/world_ender.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/aatrox/hud/icons2d/aatrox_r.png
Lillia,876,P,Dream-Laden Bough,Hitting a champion or monster with a skill will deal additional max Health damage over time.,,,,,,champions/Lillia/images/abilities/dream_laden_bough.png,champions/Lillia/images/abilities/dream_laden_bough.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/lillia/hud/icons2d/lillia_icon_passive.png
Lillia,876,Q,Blooming Blows,"Passively, Lillia gains stacking Move Speed when hitting enemies with spells. She can activate this to deal magic damage to nearby enemies, dealing extra true damage on the edge.","Passive: Lillia's Ability hits grant {{ prancespeed }} Move Speed for {{ pranceduration }} seconds, stacking up to {{ prancemaxstacks }} times. Active: Lillia whirls her censer, dealing {{ totaldamage }} magic damage , plus an additional {{ bonustruedamage }} true damage at the outer edge.{{ spellmodifierdescriptionappend }}",6/5.5/5/4.5/4,65,450,{{ cost }} {{ abilityresourcename }},champions/Lillia/images/abilities/blooming_blows.png,champions/Lillia/images/abilities/blooming_blows.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/lillia/hud/icons2d/lillia_icon_q.png
Lillia,876,W,Watch Out! Eep!,"Lillia deals damage in a nearby area, dealing heavy damage in the center.","Lillia winds up a huge strike, dealing {{ flatdamage }} magic damage . Enemies in the center take {{ flatdamagesweetspot }} damage instead.{{ spellmodifierdescriptionappend }}",14/13/12/11/10,50,500,{{ cost }} {{ abilityresourcename }},champions/Lillia/images/abilities/watch_out_eep.png,champions/Lillia/images/abilities/watch_out_eep.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/lillia/hud/icons2d/lillia_icon_w.png
Lillia,876,E,Swirlseed,"Lillia hurls a seed that damages and slows those it lands on. If it doesn't hit anything, it will continue rolling until it hits a wall or target.","Lillia lobs a swirlseed overhead, dealing {{ impactdamagetotal }} magic damage where it lands and revealing and Slowing them by {{ slowamount*100 }}% for {{ slowduration }} seconds. If no enemies are hit, the seed rolls until it hits an enemy or collides with terrain.{{ spellmodifierdescriptionappend }}",12,70,700,{{ cost }} {{ abilityresourcename }},champions/Lillia/images/abilities/swirlseed.png,champions/Lillia/images/abilities/swirlseed.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/lillia/hud/icons2d/lillia_icon_e.png
Lillia,876,R,Lilting Lullaby,Lillia causes all enemies with Dream Dust on them to become Drowsy before falling asleep. Those enemies will take extra damage on being forcibly woken up.,"Lillia causes all enemy champions with Dream Dust to become Drowsy for {{ drowsyduration }} seconds. Afterward, they fall Asleep for {{ sleepduration }} seconds. When awakened by damage, they take an additional {{ totaldamage }} magic damage .{{ spellmodifierdescriptionappend }}",140/120/100,50,1600,{{ cost }} {{ abilityresourcename }},champions/Lillia/images/abilities/lilting_lullaby.png,champions/Lillia/images/abilities/lilting_lullaby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/lillia/hud/icons2d/lillia_icon_r.png
Ambessa,799,P,Drakehound's Step,"Entering an attack or movement command while casting an ability will cause Ambessa to dash a short distance once the ability is cast, granting her next attack bonus range, damage, and attack speed, and refunding energy.",,,,,,champions/Ambessa/images/abilities/drakehound_s_step.png,champions/Ambessa/images/abilities/drakehound_s_step.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ambessa/hud/icons2d/icon_ambessa_passive.domina.png
Ambessa,799,Q,Cunning Sweep / Sundering Slam,"Ambessa sweeps her twin drakehounds in a semicircle in front of her, dealing bonus damage to enemies hit by the blades. Striking an enemy will transform the next cast of this ability for a short period of time, causing her to slam her twin drakehounds down in a line in front of her, dealing bonus damage to the first enemy hit.","Cunning Sweep : Ambessa sweeps her blades forward, dealing {{ calc_damage_1_max }} + {{ calc_damage_1_percent_max }} max Health physical damage to enemies at the edge of the strike. All other enemies take {{ calc_damage_1_min_ratio }} damage. Striking an enemy readies a Sundering Slam . Sundering Slam : Ambessa slams her blades down, dealing {{ calc_damage_2_max }} + {{ calc_damage_2_percent_max }} max Health physical damage against the first enemy hit. All other enemies take {{ calc_damage_2_min_ratio }} damage.{{ spellmodifierdescriptionappend }}",14/13/12/11/10,70,650,{{ cost }} {{ abilityresourcename }},champions/Ambessa/images/abilities/cunning_sweep_sundering_slam.png,champions/Ambessa/images/abilities/cunning_sweep_sundering_slam.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ambessa/hud/icons2d/icon_ambessa_q1.domina.png
Ambessa,799,W,Repudiation,"Ambessa gains a shield, briefly braces herself, and then slams the ground to damage nearby enemies. If she blocked any non-minion damage while bracing herself, this ability will deal increased damage.","Ambessa gains {{ calc_shield }} Shield for {{ shield_duration }} seconds and braces herself for {{ buff_duration }} seconds. She then slams the ground, dealing {{ calc_damage_low }} physical damage to nearby enemies, which increases to {{ calc_damage_high }} physical damage if she braced herself from damage from an enemy champion, large monster, or structure.{{ spellmodifierdescriptionappend }}",18/17/16/15/14,70,325,{{ cost }} {{ abilityresourcename }},champions/Ambessa/images/abilities/repudiation.png,champions/Ambessa/images/abilities/repudiation.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ambessa/hud/icons2d/icon_ambessa_w.domina.png
Ambessa,799,E,Lacerate,"Ambessa whips her twin drakehounds around herself, damaging and slowing nearby enemies. Initiating Drakehound's Step from this ability causes her to strike a second time at the end of its dash.","Ambessa whips her chains around, dealing {{ calc_damage_flat }} physical damage and Slowing enemies by {{ slow_amount*100 }}% , which decays over {{ slow_duration }} second. Initiating Drakehound's Step from this Ability will trigger an additional strike.{{ spellmodifierdescriptionappend }}",13/12/11/10/9,70,325,{{ cost }} {{ abilityresourcename }},champions/Ambessa/images/abilities/lacerate.png,champions/Ambessa/images/abilities/lacerate.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ambessa/hud/icons2d/icon_ambessa_e.domina.png
Ambessa,799,R,Public Execution,Ambessa blinks to the farthest enemy champion in a line of her choosing and suppresses them upon her arrival. She then slams the enemy into the ground where they take damage and are stunned.,"Passive : Ambessa gains {{ armor_penetration*100 }}% %i:scaleAPen% Armor Penetration and her Abilities heal her for {{ calc_omnivamp }} of the damage she dealt . Active : Ambessa becomes Unstoppable and blinks to the farthest enemy champion in a line, Suppressing the target for {{ suppress_duration }} seconds and then slamming them into the ground, dealing {{ calc_damage }} physical damage and Stunning them for {{ stun_duration }} seconds.{{ spellmodifierdescriptionappend }}",130/115/100,0,1250,No cost,champions/Ambessa/images/abilities/public_execution.png,champions/Ambessa/images/abilities/public_execution.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ambessa/hud/icons2d/icon_ambessa_r.domina.png
Diana,131,P,Moonsilver Blade,"Every third strike cleaves nearby enemies for an additional magic damage. After casting a spell, Diana gains Attack Speed for 5 seconds.",,,,,,champions/Diana/images/abilities/moonsilver_blade.png,champions/Diana/images/abilities/moonsilver_blade.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/diana/hud/icons2d/diana_passive_lunarblade.png
Diana,131,Q,Crescent Strike,"Unleashes a bolt of lunar energy in an arc dealing magic damage. Afflicts enemies struck with Moonlight, revealing them if they are not stealthed for 3 seconds.","Diana unleashes an arc of lunar energy, dealing {{ totaldamage }} magic damage and marking with Moonlight for {{ moonlightduration }} seconds. Moonlight reveals enemies that are not stealthed .{{ spellmodifierdescriptionappend }}",8/7.5/7/6.5/6,50,900,{{ cost }} {{ abilityresourcename }},champions/Diana/images/abilities/crescent_strike.png,champions/Diana/images/abilities/crescent_strike.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/diana/hud/icons2d/diana_q_moonsedge.png
Diana,131,W,Pale Cascade,"Diana creates three orbiting spheres that detonate on contact with enemies to deal damage in an area. She also gains a temporary shield that absorbs damage. If her third sphere detonates, the shield gains additional strength.","Diana creates three orbiting spheres for {{ shieldduration }} seconds that explode on contact, each dealing {{ totaldamage }} magic damage , up to a max of {{ totalmaxdamage }} damage . Diana also gains {{ shieldvalue }} Shield for the same duration. When the last sphere detonates, she gains an additional {{ shieldvalue }} Shield and refreshes the duration.{{ spellmodifierdescriptionappend }}",15/13.5/12/10.5/9,40/45/50/55/60,800,{{ cost }} {{ abilityresourcename }},champions/Diana/images/abilities/pale_cascade.png,champions/Diana/images/abilities/pale_cascade.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/diana/hud/icons2d/diana_w_lunarshower.png
Diana,131,E,Lunar Rush,"Becomes the living embodiment of the vengeful moon, dashing to an enemy and dealing magic damage. Lunar Rush has no cooldown when used to dash to an enemy afflicted with Moonlight. All other enemies will have the Moonlight debuff removed regardless of whether they were the target of Lunar Rush.","Diana becomes as the vengeful moon, dashing to an enemy and dealing {{ totaldamage }} magic damage . If the target is afflicted with Moonlight , this Ability's Cooldown is refreshed.{{ spellmodifierdescriptionappend }}",22/20/18/16/14,40/45/50/55/60,825,{{ cost }} {{ abilityresourcename }},champions/Diana/images/abilities/lunar_rush.png,champions/Diana/images/abilities/lunar_rush.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/diana/hud/icons2d/diana_e_fasterthanlight.png
Diana,131,R,Moonfall,"Diana reveals and draws in all nearby enemies and slows them. If Diana pulls in one or more enemy champions, the moonlight crashes down onto her after a short delay, dealing magic damage in an area around her, increased for each target beyond the first pulled.","Diana Pulls In , Slows by {{ slowtooltip }}%, and reveals nearby enemies for {{ slowduration }} seconds. If Diana hits at least one enemy champion, she calls to the moon, dealing {{ rexplosiondamage }} magic damage plus {{ rmultihitamplification }} for each champion pulled beyond the first, up to a max of an additional {{ maxdamage }} damage .{{ spellmodifierdescriptionappend }}",100/90/80,100,475,{{ cost }} {{ abilityresourcename }},champions/Diana/images/abilities/moonfall.png,champions/Diana/images/abilities/moonfall.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/diana/hud/icons2d/diana_r_moonfall.png
Blitzcrank,53,P,Mana Barrier,Blitzcrank gains a shield based on their mana when dropping to low health.,,,,,,champions/Blitzcrank/images/abilities/mana_barrier.png,champions/Blitzcrank/images/abilities/mana_barrier.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/blitzcrank/hud/icons2d/blitzcrankp.png
Blitzcrank,53,Q,Rocket Grab,"Blitzcrank fires their right hand to grab an opponent on its path, dealing damage and dragging it back to them.","Blitzcrank fires their right hand, Pulling the first enemy hit towards them and dealing {{ totaldamage }} magic damage .{{ spellmodifierdescriptionappend }}",20/19/18/17/16,100,1079,{{ cost }} {{ abilityresourcename }},champions/Blitzcrank/images/abilities/rocket_grab.png,champions/Blitzcrank/images/abilities/rocket_grab.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/blitzcrank/hud/icons2d/blitzcrankq.png
Blitzcrank,53,W,Overdrive,Blitzcrank super charges themself to get dramatically increased Move and Attack Speed. They are temporarily slowed after the effect ends.,"Blitzcrank supercharges themself, gaining {{ movespeedmod*100 }}% decaying Move Speed and {{ attackspeedmod*100 }}% Attack Speed for {{ duration }} seconds. Afterwards, Blitzcrank is Slowed by {{ movespeedmodreduction*100 }}% for {{ slowduration }} seconds.{{ spellmodifierdescriptionappend }}",15,75,1,{{ cost }} {{ abilityresourcename }},champions/Blitzcrank/images/abilities/overdrive.png,champions/Blitzcrank/images/abilities/overdrive.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/blitzcrank/hud/icons2d/blitzcrankw.png
Blitzcrank,53,E,Power Fist,Blitzcrank charges up their fist to make the next attack deal double damage and pop their target up in the air.,"Blitzcrank charges up their fist, causing their next Attack to Knock Up for {{ ccduration }} second(s) and deal {{ totaldamage }} physical damage .{{ spellmodifierdescriptionappend }}",7/6.5/6/5.5/5,25,300,{{ cost }} {{ abilityresourcename }},champions/Blitzcrank/images/abilities/power_fist.png,champions/Blitzcrank/images/abilities/power_fist.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/blitzcrank/hud/icons2d/blitzcranke.png
Blitzcrank,53,R,Static Field,"Enemies attacked by Blitzcrank are marked and take lightning damage after 1 second. Additionally, Blitzcrank can activate this ability to remove nearby enemies' shields, damage them, and silence them briefly.","Passive: While this ability is available, lightning charges Blitzcrank's fists, marking those  Attacked. After 1 second, they are shocked for {{ passivedamage }} magic damage . Active: Blitzcrank overcharges, dealing {{ activedamage }} magic damage and Silencing nearby enemies for {{ silenceduration }} seconds. Their shields are also destroyed.{{ spellmodifierdescriptionappend }}",60/40/20,100,600,{{ cost }} {{ abilityresourcename }},champions/Blitzcrank/images/abilities/static_field.png,champions/Blitzcrank/images/abilities/static_field.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/blitzcrank/hud/icons2d/blitzcrankr.png
