champion,champion_id,skin_id,name,is_base,rarity,cost,availability,release,splash,tile,load_screen,sourceSplash,sourceTile,sourceLoad,voiceActor,set
Alistar,12,12010,Moo Cow Alistar,False,kNoRarity,975,Available,2017-03-29,champions/Alistar/images/skins/moo_cow_alistar_splash.jpg,champions/Alistar/images/skins/moo_cow_alistar_tile.jpg,champions/Alistar/images/skins/moo_cow_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin10/images/alistar_splash_centered_10.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin10/images/alistar_splash_tile_10.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin10/alistarloadscreen_10.jpg,Harlan Hogan,Toy Box
Alistar,12,12019,Hextech Alistar,False,kMythic,Special,Rare,2018-03-26,champions/Alistar/images/skins/hextech_alistar_splash.jpg,champions/Alistar/images/skins/hextech_alistar_tile.jpg,champions/Alistar/images/skins/hextech_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin19/images/alistar_splash_centered_19.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin19/images/alistar_splash_tile_19.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin19/alistarloadscreen_19.jpg,Harlan Hogan,Hextech
Alistar,12,12020,Conqueror Alistar,False,kRare,975,Legacy,2019-04-30,champions/Alistar/images/skins/conqueror_alistar_splash.jpg,champions/Alistar/images/skins/conqueror_alistar_tile.jpg,champions/Alistar/images/skins/conqueror_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin20/images/alistar_splash_centered_20.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin20/images/alistar_splash_tile_20.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin20/alistarloadscreen_20.jpg,Harlan Hogan,Conqueror
Alistar,12,12022,Blackfrost Alistar,False,kEpic,1350,Available,2020-03-05,champions/Alistar/images/skins/blackfrost_alistar_splash.jpg,champions/Alistar/images/skins/blackfrost_alistar_tile.jpg,champions/Alistar/images/skins/blackfrost_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin22/images/alistar_splash_centered_22.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin22/images/alistar_splash_tile_22.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin22/alistarloadscreen_22.jpg,Harlan Hogan,Blackfrost
Alistar,12,12029,Lunar Beast Alistar,False,kEpic,1350,Legacy,2021-02-04,champions/Alistar/images/skins/lunar_beast_alistar_splash.jpg,champions/Alistar/images/skins/lunar_beast_alistar_tile.jpg,champions/Alistar/images/skins/lunar_beast_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin29/images/alistar_splash_centered_29.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin29/images/alistar_splash_tile_29.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin29/alistarloadscreen_29.jpg,Harlan Hogan,Lunar Beast
Alistar,12,12040,Elderwood Alistar,False,kEpic,,,,champions/Alistar/images/skins/elderwood_alistar_splash.jpg,champions/Alistar/images/skins/elderwood_alistar_tile.jpg,champions/Alistar/images/skins/elderwood_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin40/images/alistar_splash_centered_40.skins_alistar_skin40.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin40/images/alistar_splash_tile_40.skins_alistar_skin40.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin40/alistarloadscreen_40.skins_alistar_skin40.jpg,,
Azir,268,268000,Azir,True,kNoRarity,880,Available,2014-09-15,champions/Azir/images/skins/azir_splash.jpg,champions/Azir/images/skins/azir_tile.jpg,champions/Azir/images/skins/azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/base/images/azir_splash_centered_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/base/images/azir_splash_tile_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/base/azirloadscreen.jpg,Travis Willingham,
Azir,268,268001,Galactic Azir,False,kNoRarity,975,Available,2014-09-15,champions/Azir/images/skins/galactic_azir_splash.jpg,champions/Azir/images/skins/galactic_azir_tile.jpg,champions/Azir/images/skins/galactic_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin01/images/azir_splash_centered_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin01/images/azir_splash_tile_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin01/azirloadscreen_1.jpg,Travis Willingham,Galactic
Azir,268,268002,Gravelord Azir,False,kEpic,1350,Available,2015-12-01,champions/Azir/images/skins/gravelord_azir_splash.jpg,champions/Azir/images/skins/gravelord_azir_tile.jpg,champions/Azir/images/skins/gravelord_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin02/images/azir_splash_centered_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin02/images/azir_splash_tile_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin02/azirloadscreen_2.jpg,Travis Willingham,Death Sworn
Azir,268,268003,SKT T1 Azir,False,kNoRarity,975,Legacy,2016-08-17,champions/Azir/images/skins/skt_t1_azir_splash.jpg,champions/Azir/images/skins/skt_t1_azir_tile.jpg,champions/Azir/images/skins/skt_t1_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin03/images/azir_splash_centered_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin03/images/azir_splash_tile_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin03/azirloadscreen_3.jpg,Travis Willingham,World Champions: 2015
Azir,268,268004,Warring Kingdoms Azir,False,kEpic,1350,Legacy,2017-01-19,champions/Azir/images/skins/warring_kingdoms_azir_splash.jpg,champions/Azir/images/skins/warring_kingdoms_azir_tile.jpg,champions/Azir/images/skins/warring_kingdoms_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin04/images/azir_splash_centered_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin04/images/azir_splash_tile_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin04/azirloadscreen_4.jpg,Travis Willingham,Lunar Revel: Warring Kingdoms
Azir,268,268005,Elderwood Azir,False,kEpic,1350,Available,2020-12-10,champions/Azir/images/skins/elderwood_azir_splash.jpg,champions/Azir/images/skins/elderwood_azir_tile.jpg,champions/Azir/images/skins/elderwood_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin05/images/azir_splash_centered_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin05/images/azir_splash_tile_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin05/azirloadscreen_5.jpg,Travis Willingham,Elderwood
Azir,268,268014,Worlds 2022 Azir,False,kEpic,1350,Legacy,2022-09-22,champions/Azir/images/skins/worlds_2022_azir_splash.jpg,champions/Azir/images/skins/worlds_2022_azir_tile.jpg,champions/Azir/images/skins/worlds_2022_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin14/images/azir_splash_centered_14.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin14/images/azir_splash_tile_14.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin14/azirloadscreen_14.jpg,Travis Willingham,World Championship
Azir,268,268019,Attorney Azir,False,kEpic,1350,Available,2024-09-11,champions/Azir/images/skins/attorney_azir_splash.jpg,champions/Azir/images/skins/attorney_azir_tile.jpg,champions/Azir/images/skins/attorney_azir_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin19/images/azir_splash_centered_19.skins_azir_skin19.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin19/images/azir_splash_tile_19.skins_azir_skin19.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/skins/skin19/azirloadscreen_19.skins_azir_skin19.jpg,Travis Willingham,Day Job
Amumu,32,32000,Amumu,True,kNoRarity,260,Available,2009-06-25,champions/Amumu/images/skins/amumu_splash.jpg,champions/Amumu/images/skins/amumu_tile.jpg,champions/Amumu/images/skins/amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/base/images/amumu_splash_centered_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/base/images/amumu_splash_tile_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/base/amumuloadscreen.jpg,Cristina Milizia,
Amumu,32,32001,Pharaoh Amumu,False,kNoRarity,520,Legacy,2010-02-02,champions/Amumu/images/skins/pharaoh_amumu_splash.jpg,champions/Amumu/images/skins/pharaoh_amumu_tile.jpg,champions/Amumu/images/skins/pharaoh_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin01/images/amumu_splash_centered_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin01/images/amumu_splash_tile_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin01/amumuloadscreen_1.jpg,Cristina Milizia,Pharaoh
Amumu,32,32002,Vancouver Amumu,False,kNoRarity,520,Legacy,2010-02-12,champions/Amumu/images/skins/vancouver_amumu_splash.jpg,champions/Amumu/images/skins/vancouver_amumu_tile.jpg,champions/Amumu/images/skins/vancouver_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin02/images/amumu_splash_centered_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin02/images/amumu_splash_tile_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin02/amumuloadscreen_2.jpg,Cristina Milizia,Winter Sports
Amumu,32,32003,Emumu,False,kNoRarity,520,Available,2010-08-01,champions/Amumu/images/skins/emumu_splash.jpg,champions/Amumu/images/skins/emumu_tile.jpg,champions/Amumu/images/skins/emumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin03/images/amumu_splash_centered_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin03/images/amumu_splash_tile_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin03/amumuloadscreen_3.jpg,Cristina Milizia,Goth
Amumu,32,32004,Re-Gifted Amumu,False,kNoRarity,520,Legacy,2010-12-14,champions/Amumu/images/skins/re_gifted_amumu_splash.jpg,champions/Amumu/images/skins/re_gifted_amumu_tile.jpg,champions/Amumu/images/skins/re_gifted_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin04/images/amumu_splash_centered_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin04/images/amumu_splash_tile_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin04/amumuloadscreen_4.jpg,Cristina Milizia,Snowdown Showdown
Amumu,32,32005,Almost-Prom King Amumu,False,kNoRarity,520,Legacy,2011-02-07,champions/Amumu/images/skins/almost_prom_king_amumu_splash.jpg,champions/Amumu/images/skins/almost_prom_king_amumu_tile.jpg,champions/Amumu/images/skins/almost_prom_king_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin05/images/amumu_splash_centered_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin05/images/amumu_splash_tile_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin05/amumuloadscreen_5.jpg,Cristina Milizia,Day Job
Amumu,32,32006,Little Knight Amumu,False,kNoRarity,750,Available,2011-07-18,champions/Amumu/images/skins/little_knight_amumu_splash.jpg,champions/Amumu/images/skins/little_knight_amumu_tile.jpg,champions/Amumu/images/skins/little_knight_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin06/images/amumu_splash_centered_6.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin06/images/amumu_splash_tile_6.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin06/amumuloadscreen_6.jpg,Cristina Milizia,Medieval
Amumu,32,32007,Sad Robot Amumu,False,kEpic,1350,Available,2012-05-28,champions/Amumu/images/skins/sad_robot_amumu_splash.jpg,champions/Amumu/images/skins/sad_robot_amumu_tile.jpg,champions/Amumu/images/skins/sad_robot_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin07/images/amumu_splash_centered_7.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin07/images/amumu_splash_tile_7.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin07/amumuloadscreen_7.jpg,Cristina Milizia,Mad Scientists
Amumu,32,32008,Surprise Party Amumu,False,kEpic,1350,Available,2015-03-31,champions/Amumu/images/skins/surprise_party_amumu_splash.jpg,champions/Amumu/images/skins/surprise_party_amumu_tile.jpg,champions/Amumu/images/skins/surprise_party_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin08/images/amumu_splash_centered_8.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin08/images/amumu_splash_tile_8.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin08/amumuloadscreen_8.jpg,Cristina Milizia,Surprise Party
Amumu,32,32017,Infernal Amumu,False,kEpic,1350,Available,2018-10-16,champions/Amumu/images/skins/infernal_amumu_splash.jpg,champions/Amumu/images/skins/infernal_amumu_tile.jpg,champions/Amumu/images/skins/infernal_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin17/images/amumu_splash_centered_17.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin17/images/amumu_splash_tile_17.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin17/amumuloadscreen_17.jpg,Cristina Milizia,Infernal
Amumu,32,32023,Hextech Amumu,False,kMythic,Special,Rare,2019-09-26,champions/Amumu/images/skins/hextech_amumu_splash.jpg,champions/Amumu/images/skins/hextech_amumu_tile.jpg,champions/Amumu/images/skins/hextech_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin23/images/amumu_splash_centered_23.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin23/images/amumu_splash_tile_23.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin23/amumuloadscreen_23.jpg,Cristina Milizia,Hextech
Amumu,32,32024,Pumpkin Prince Amumu,False,kEpic,1350,Legacy,2020-10-22,champions/Amumu/images/skins/pumpkin_prince_amumu_splash.jpg,champions/Amumu/images/skins/pumpkin_prince_amumu_tile.jpg,champions/Amumu/images/skins/pumpkin_prince_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin24/images/amumu_splash_centered_24.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin24/images/amumu_splash_tile_24.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin24/amumuloadscreen_24.jpg,Cristina Milizia,Trick-or-Treat
Amumu,32,32034,Porcelain Amumu,False,kEpic,1350,Available,2022-01-26,champions/Amumu/images/skins/porcelain_amumu_splash.jpg,champions/Amumu/images/skins/porcelain_amumu_tile.jpg,champions/Amumu/images/skins/porcelain_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin34/images/amumu_splash_centered_34.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin34/images/amumu_splash_tile_34.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin34/amumuloadscreen_34.jpg,Cristina Milizia,Porcelain
Amumu,32,32044,Heartache Amumu,False,kEpic,1350,Available,2023-02-10,champions/Amumu/images/skins/heartache_amumu_splash.jpg,champions/Amumu/images/skins/heartache_amumu_tile.jpg,champions/Amumu/images/skins/heartache_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin44/images/amumu_splash_centered_44.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin44/images/amumu_splash_tile_44.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin44/amumuloadscreen_44.jpg,Cristina Milizia,Heartthrobs and Heartaches
Amumu,32,32053,Dumpling Darlings Amumu,False,kEpic,1350,Available,2025-02-05,champions/Amumu/images/skins/dumpling_darlings_amumu_splash.jpg,champions/Amumu/images/skins/dumpling_darlings_amumu_tile.jpg,champions/Amumu/images/skins/dumpling_darlings_amumu_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin53/images/amumu_splash_centered_53.skins_amumu_skin53.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin53/images/amumu_splash_tile_53.skins_amumu_skin53.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/amumu/skins/skin53/amumuloadscreen_53.skins_amumu_skin53.jpg,Cristina Milizia,Dumpling Darlings
