id,name,plaintext,description,gold_total,gold_base,gold_sell,purchasable,tags,stats,image,sourceUrl
1033,Null-Magic Mantle,Slightly increases Magic Resist,20 Magic Resist,400,400,280,True,SpellBlock,FlatSpellBlockMod:20,images/items/null_magic_mantle.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1033_base_t1_magicmantle.png
1035,Emberknife,,"7% Omnivamp against jungle monsters Sear: Damaging jungle monsters burns them for magic damage over 5 seconds. Challenging Path: Smiting 5 times consumes this item and upgrades your Smite to Challenging Smite , increasing its damage to monsters to 900 and damage to minions to 500 +10% target max Health . Challenging Smite marks champions for 4 seconds. Damaging a marked champion deals an additional true damage to them over 2.5 seconds. You take 10% reduced damage from marked champions. Huntsman: Killing large jungle monsters grants bonus experience. Recoup: Regen up to Mana (based on missing mana) per second when in the jungle or river. Consuming this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. Only attacks and abilities apply Challenging Smite's burn",350,350,140,False,"LifeSteal, SpellVamp, Jungle",,images/items/emberknife.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1035_alll_t1_emberknife.png
1036,Long Sword,Slightly increases Attack Damage,10 Attack Damage,350,350,245,True,"Damage, Lane",FlatPhysicalDamageMod:10,images/items/long_sword.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1036_class_t1_longsword.png
1037,Pickaxe,Moderately increases Attack Damage,25 Attack Damage,875,875,613,True,Damage,FlatPhysicalDamageMod:25,images/items/pickaxe.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1037_class_t1_pickaxe.png
1038,B. F. Sword,Greatly increases Attack Damage,40 Attack Damage,1300,1300,910,True,Damage,FlatPhysicalDamageMod:40,images/items/b_f_sword.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1038_marksman_t1_bfsword.png
1039,Hailblade,Provides damage against Monsters and Mana Regen in the Jungle,"7% Omnivamp against jungle monsters Sear: Damaging jungle monsters burns them for magic damage over 5 seconds. Chilling Path: Smiting 5 times consumes this item and upgrades your Smite to Chilling Smite , increasing its damage to monsters to 900 and damage to minions to 500 +10% target max Health . Chilling Smite deals true damage to champions and steals 20% of their Move Speed for 2 seconds. Huntsman: Killing large jungle monsters grants bonus experience. Recoup: Regen up to Mana (based on missing mana) per second when in the jungle or river. Consuming this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience.",350,350,140,False,"LifeSteal, SpellVamp, Jungle",,images/items/hailblade.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1039_all_t1_hailblade.png
1040,Obsidian Edge,,"8% Omnivamp against jungle monsters Sear: Damaging jungle monsters burns them for magic damage over 5 seconds. Auto Path: Smiting 5 times consumes this item and upgrades your Attack-Smite, increasing its damage to monsters to 900 . Huntsman: Killing large jungle monsters grants bonus experience. Recoup: Regen up to Mana (based on missing mana) per second when in the jungle or river. Consuming this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience.",350,350,140,True,"LifeSteal, SpellVamp, Jungle",,images/items/obsidian_edge.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1040_obsidianedge.png
1042,Dagger,Slightly increases Attack Speed,10% Attack Speed,250,250,175,True,AttackSpeed,PercentAttackSpeedMod:0.1,images/items/dagger.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1042_base_t1_dagger.png
1043,Recurve Bow,Greatly increases Attack Speed,15% Attack Speed Sting Attacks deal 15 bonus physical damage On-Hit .,700,450,490,True,"AttackSpeed, OnHit",PercentAttackSpeedMod:0.15,images/items/recurve_bow.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1043_base_t2_recurvebow.png
1052,Amplifying Tome,Slightly increases Ability Power,20 Ability Power,400,400,280,True,SpellDamage,FlatMagicDamageMod:20,images/items/amplifying_tome.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1052_mage_t2_amptome.png
1053,Vampiric Scepter,Basic attacks restore Health,15 Attack Damage 7% Life Steal,900,550,630,True,"Damage, LifeSteal","FlatPhysicalDamageMod:15, PercentLifeStealMod:0.07",images/items/vampiric_scepter.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1053_fighter_t2_vampiricscepter.png
1054,Doran's Shield,Good defensive starting item,"110 Health Enduring Focus Restore 4 Health every 5 seconds. After taking damage from a champion, restore Health over 8 seconds. Helping Hand Attacks deal 5 bonus physical damage to minions.",450,450,180,True,"Health, HealthRegen, Lane","FlatHPPoolMod:110, FlatHPRegenMod:0.8",images/items/doran_s_shield.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1054_tank_t1_doransshield.png
1055,Doran's Blade,Good starting item for attackers,10 Attack Damage 80 Health Life Draining Return 2.5% of damage dealt as Health . Reduced to 33.3% effectiveness for area of effect spells and pet damage.,450,450,180,True,"Health, Damage, SpellVamp, Lane","FlatHPPoolMod:80, FlatPhysicalDamageMod:10",images/items/doran_s_blade.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1055_marksman_t1_doransblade.png
1056,Doran's Ring,Good starting item for casters,"18 Ability Power 90 Health Drain Restore 1 Mana every second, increased to 2 Mana per second for 5 seconds after dealing damage to an enemy champion. If you can't gain Mana, heal for 45% of this value instead. Helping Hand Attacks deal 5 bonus physical damage to minions.",400,400,160,True,"Health, Lane, ManaRegen, SpellDamage","FlatHPPoolMod:90, FlatMagicDamageMod:18",images/items/doran_s_ring.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1056_mage_t1_doransring.png
1057,Negatron Cloak,Moderately increases Magic Resist,45 Magic Resist,850,450,595,True,SpellBlock,FlatSpellBlockMod:45,images/items/negatron_cloak.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1057_tank_t2_negatroncloak.png
1058,Needlessly Large Rod,Greatly increases Ability Power,65 Ability Power,1200,1200,840,True,SpellDamage,FlatMagicDamageMod:65,images/items/needlessly_large_rod.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1058_mage_t1_largerod.png
1082,Dark Seal,Provides Ability Power and Mana.  Increases in power as you kill enemies.,"15 Ability Power 50 Health Glory Takedowns grant Glory , up to 10. 5 Glory is lost on death. Gain 4 Ability Power per Glory .",350,350,140,True,"Health, SpellDamage, Lane","FlatHPPoolMod:50, FlatMagicDamageMod:15",images/items/dark_seal.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1082_mage_t1_darkseal.png
1083,Cull,Provides damage and Life Steal on hit - Killing minions grant bonus Gold,"7 Attack Damage Reap Restore 3 Health On-Hit . Killing minions grants 1 gold , up to 100 . Reaching the limit grants another 350 gold .",450,450,180,True,"Damage, OnHit, Lane",FlatPhysicalDamageMod:7,images/items/cull.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1083_marksman_t1_cull.png
1101,Scorchclaw Pup,,"Jungle Companions Summon a Scorchclaw that assists you against monsters. Scorchclaw's Slash The companion grows as you hunt monsters, empowering your Smite . When fully grown, it periodically imbues your next Attack or Ability to burn enemies and Slow them. Killing large monsters readies this immediately.",450,450,0,True,Jungle,,images/items/scorchclaw_pup.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1101_jungle_t1_scorchclawpup.png
1102,Gustwalker Hatchling,,"Jungle Companions Summon a Gustwalker that assists you against monsters. Gustwalker's Gait The companion grows as you hunt monsters, empowering your Smite . When fully grown, it grants Move Speed upon entering brush, increased when killing large monsters.",450,450,0,True,Jungle,,images/items/gustwalker_hatchling.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1102_jungle_t1_gustwalkerhatchling.png
1103,Mosstomper Seedling,,"Jungle Companions Summon a Mosstomper that assists you against monsters. Mosstomper's Courage The companion grows as you hunt monsters, empowering your Smite . When fully grown, it grants a shield that regenerates after killing large monsters or out of combat.",450,450,0,True,Jungle,,images/items/mosstomper_seedling.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1103_jungle_t1_mosstomperseedling.png
1104,Eye of the Herald,,"Active - Consume: Crush the Eye of the Herald, begining the ritual to summon Rift Herald. You may click the Rift Herald after it has summoned to control how it charges. This control effect can be done once when it is summoned, and once each time a nearby enemy structure dies.",0,0,0,False,"Trinket, Active",,images/items/eye_of_the_herald.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1103_testitem2.png
1105,Mosstomper Seedling,,"Jungle Companions Summon a Mosstomper that assists you against monsters. Mosstomper's Courage The companion grows as you hunt monsters, empowering your Smite . When fully grown, it grants a shield that regenerates after killing large monsters or out of combat.",450,450,180,True,Jungle,,images/items/mosstomper_seedling_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1103_jungle_t1_mosstomperseedling.png
1106,Gustwalker Hatchling,,"Jungle Companions Summon a Gustwalker that assists you against monsters. Gustwalker's Gait The companion grows as you hunt monsters, empowering your Smite . When fully grown, it grants Move Speed upon entering brush, increased when killing large monsters.",450,450,180,True,Jungle,,images/items/gustwalker_hatchling_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1102_jungle_t1_gustwalkerhatchling.png
1107,Scorchclaw Pup,,"Jungle Companions Summon a Scorchclaw that assists you against monsters. Scorchclaw's Slash The companion grows as you hunt monsters, empowering your Smite . When fully grown, it periodically imbues your next Attack or Ability to burn enemies and Slow them. Killing large monsters readies this immediately.",450,450,180,True,Jungle,,images/items/scorchclaw_pup_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1101_jungle_t1_scorchclawpup.png
1111,Jarvan I's,,25% Attack Speed 100 Move Speed 10 Ability Haste 12 Magic Penetration 25 Armor 20 Magic Resist 30% Tenacity Jarvan One Give you stats and passives from all boots. Requires Augment: Quest: SneakerHead,300,300,210,False,"Armor, AttackSpeed, Boots, Tenacity, MagicPenetration, MagicResist, AbilityHaste","FlatSpellBlockMod:20, FlatMovementSpeedMod:100, FlatArmorMod:25, PercentAttackSpeedMod:0.25",images/items/jarvan_i_s.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1111_jarvanis.kiwi_15_24_balance.png
123430,Rite of Ruin,,"55 Ability Power 10 Ability Haste 25% Critical Strike Chance 4% Move Speed Wrath and Ruin On spell cast, gain 2.5% critical chance for 6 seconds, stacking up to 20%. Salvage the Wreckage Your spells have a chance equal to your crit chance to grant you or your targeted ally a shield for  for 3s.",3000,650,2100,True,"CriticalStrike, SpellDamage, CooldownReduction, NonbootsMovement","FlatMagicDamageMod:55, FlatCritChanceMod:0.25, PercentMovementSpeedMod:0.04",images/items/rite_of_ruin.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/3430_riteofruin.png
124011,Sword of Blossoming Dawn,,"45 Ability Power 200 Health 12% Heal and Shield Power 15 Ability Haste Effervescence Gain +1.2% Attack Speed for every 1% Heal and Shield Power you have. Peppermint On-Hit , heal the lowest health ally champion near you for , prioritizing lower health allies.",2350,550,1645,True,"Health, SpellDamage, CooldownReduction, OnHit, AbilityHaste","FlatHPPoolMod:200, FlatMagicDamageMod:45",images/items/sword_of_blossoming_dawn.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/4011_swordofblossomingdawn.png
126697,Hubris,,60 Attack Damage 18 Lethality 15 Ability Haste Eminence Gain temporary AD based on champion kills on kill.,2950,900,2065,True,"Damage, Active, CooldownReduction, ArmorPenetration, AbilityHaste",FlatPhysicalDamageMod:60,images/items/hubris.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/6697_hubris.png
1500,Penetrating Bullets,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/penetrating_bullets.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/3056_ohmwrecker.png
1501,Fortification,,,0,0,0,False,,,images/items/fortification.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/34.png
1502,Reinforced Armor,,"Reinforced: Reduces incoming damage by 80%, including True Damage, when no enemy Lane Minions or Rift Herald are nearby.",0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/reinforced_armor.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/3042_netherrift_armor.png
1503,Warden's Eye,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/warden_s_eye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/096_eye_of_the_observer.png
1504,Vanguard,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/vanguard.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1504_turretshielder.png
1506,Reinforced Armor,,"Reinforced: Reduces incoming damage by 66%, including True Damage, when no enemy Lane Minions or Rift Herald are nearby. Regeneration: Base turrets have health regeneration, but cannot regenerate past their current segment. Base turrets are segmented at 33%, 66% and 100% health.",0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/reinforced_armor_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/3042_netherrift_armor.png
1507,Overcharged,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/overcharged.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1507_tournament_suddendeath.png
1508,Anti-tower Socks,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/anti_tower_socks.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1508_antitowersocks.png
1509,Gusto,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/gusto.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1509_gusto.png
1510,Phreakish Gusto,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/phreakish_gusto.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1510_phreakishgusto.png
1511,Super Mech Armor,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/super_mech_armor.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1511_supermecharmor.png
1512,Super Mech Power Field,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/super_mech_power_field.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1512_supermechpowerfield.png
1515,Turret Plating,,,0,0,0,False,Armor,,images/items/turret_plating.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1504_turretshielder.png
1516,Structure Bounty,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/structure_bounty.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2319_sackofgold.png
1517,Structure Bounty,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/structure_bounty_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2319_sackofgold.png
1518,Structure Bounty,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/structure_bounty_3.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2319_sackofgold.png
1519,Structure Bounty,,,0,0,0,False,"HealthRegen, ManaRegen, OnHit",,images/items/structure_bounty_4.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2319_sackofgold.png
1520,OvererchargedHA,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/overerchargedha.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1507_tournament_suddendeath.png
1521,Fortification,,,0,0,0,False,OnHit,,images/items/fortification_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/34.png
1522,Tower Power-Up,,,0,0,0,False,"Armor, Damage",,images/items/tower_power_up.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1504_turretshielder.png
1523,Overcharged,,,0,0,0,False,"Armor, ManaRegen, OnHit",,images/items/overcharged_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1507_tournament_suddendeath.png
2003,Health Potion,Consume to restore Health over time,Consume Restores 120 Health over 15 seconds.,50,50,20,True,"HealthRegen, Consumable, Lane, Jungle",,images/items/health_potion.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/autoatlas/smallicons/2003_healthpotion_64px.milkshake_env.png
2010,Total Biscuit of Everlasting Will,,"Active - Consume: Eat the biscuit to restore Health over 5 seconds, increased based on missing health. Consuming or selling a biscuit permanently grants 30 maximum Health .",50,50,5,False,,,images/items/total_biscuit_of_everlasting_will.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/autoatlas/smallicons/2010_totalbiscuitofeverlastingwill_64px.milkshake_env.png
2015,Kircheis Shard,Attack speed and a chargable magic hit,15 Attack Damage Jolt Energized Attacks deal an additional 50 magic damage .,700,350,490,False,"Damage, OnHit",FlatPhysicalDamageMod:15,images/items/kircheis_shard.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2015_marksman_t2_kirkcheisshard.png
2019,Steel Sigil,,15 Attack Damage 30 Armor,1100,150,770,True,"Armor, Damage","FlatArmorMod:30, FlatPhysicalDamageMod:15",images/items/steel_sigil.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2019_steel_sigil.png
2020,The Brutalizer,,25 Attack Damage 10 Ability Haste 5 Lethality,1337,212,936,True,"Damage, CooldownReduction, ArmorPenetration",FlatPhysicalDamageMod:25,images/items/the_brutalizer.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2020_thebrutalizer.png
2021,Tunneler,,15 Attack Damage 250 Health,1150,400,805,True,"Health, Damage","FlatHPPoolMod:250, FlatPhysicalDamageMod:15",images/items/tunneler.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2012_tunneler.png
2022,Glowing Mote,,5 Ability Haste,250,250,175,True,CooldownReduction,,images/items/glowing_mote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2022_glowingmote.png
2031,Refillable Potion,Restores Health over time. Refills at shop.,Active (2 charges) Restores 100 Health over 12 seconds. Refills upon visiting the shop.,150,150,60,True,"HealthRegen, Consumable, Active, Lane, Jungle",,images/items/refillable_potion.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/autoatlas/smallicons/2031_refillablepotion_64px.milkshake_env.png
2033,Corrupting Potion,Restores Health and Mana over time and boosts combat power - Refills at Shop,"Active - Consume: Consumes a charge to restore 100 Health and 75 Mana over 12 seconds. During this time, damaging Abilities and Attacks burn enemy champions for 15 (20 if you cannot gain Mana) magic damage over 3 seconds. Holds up to 3 charges and refills upon visiting the shop. Corrupting damage is reduced to 50% when triggered by area of effect or periodic damage.",500,350,200,False,"Active, Consumable, HealthRegen, Lane, ManaRegen",,images/items/corrupting_potion.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2033_class_t1_corruptingpotion.png
2049,Guardian's Amulet,Increases Health and provides Stealth Wards over time,"15% Heal and Shield Power 20 Ability Power 20 Ability Haste Recovery Restores 10 Mana every 5 seconds. If you can't gain mana, restores 3 Health instead.",500,500,250,True,"SpellDamage, ManaRegen, CooldownReduction, Lane, AbilityHaste",FlatMagicDamageMod:20,images/items/guardian_s_amulet.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2049_guardiansamulet.png
2050,Guardian's Shroud,,300 Health 35 Ability Power 15 Ability Haste,500,500,250,True,"Health, SpellDamage, CooldownReduction, Lane, AbilityHaste","FlatHPPoolMod:300, FlatMagicDamageMod:35",images/items/guardian_s_shroud.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/3194_battlemage_blocker.png
2051,Guardian's Horn,Good starting item for tanks,150 Health Recovery: Restores 20 Health every 5 seconds. Undaunted: Blocks 15 damage from attacks and spells from champions (25% effectiveness vs. damage over time abilities).,950,950,665,True,"Health, HealthRegen, Lane","FlatHPPoolMod:150, FlatHPRegenMod:4",images/items/guardian_s_horn.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2051_aram_t1_guardianshorn.png
2052,Poro-Snax,,"Active - Consume: Serves a scrumptious scoop to a nearby Poro, causing it to grow in size. This savory blend of free-range, grass-fed Avarosan game hens and organic, non-ZMO Freljordian herbs contains the essential nutrients necessary to keep your Poro purring with pleasure. All proceeds will be donated towards fighting Noxian animal cruelty.",0,0,0,False,,,images/items/poro_snax.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2052_poro_snack.png
2055,Control Ward,Used to disable wards and invisible traps in an area.,"Consume Places a Control Ward that grants vision and reveals enemy Stealth Wards, traps and Camouflaged enemies.",75,75,30,True,"Consumable, Lane, Stealth, Vision",,images/items/control_ward.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2055_class_t1_controlward.png
2056,Stealth Ward,Use to temporarily provide vision in an area,"Active - Consume: Places a Stealth Ward on the ground that lasts 60 seconds, is Invisible to enemies but grants your team vision of the surrounding area.",40,40,16,False,"Consumable, Lane, Stealth, Vision",,images/items/stealth_ward.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/stealth_ward_29_item.png
2065,Shurelya's Battlesong,Activate to speed up nearby allies.,50 Ability Power 15 Ability Haste 4% Move Speed 125% Base Mana Regen Inspiring Speech Grant nearby allies 30% Move Speed for 4 seconds.,2200,400,1540,True,"SpellDamage, ManaRegen, Active, CooldownReduction, NonbootsMovement, AbilityHaste","FlatMagicDamageMod:50, PercentMovementSpeedMod:0.04",images/items/shurelya_s_battlesong.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/2065_tank_t4_shurelyasbattlesong.png
2138,Elixir of Iron,Temporarily increases defenses. Leaves a trail for allies to follow.,"Consume Grants 300 Health , 25% Tenacity and increased size for 3 minutes. While active, you leave a path behind that boosts allied champions' Move Speed by 15% .",500,500,200,True,"Health, Consumable, NonbootsMovement, Tenacity",,images/items/elixir_of_iron.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/autoatlas/smallicons/2138_elixirofiron_64px.milkshake_env.png
2139,Elixir of Sorcery,Temporarily grants Ability Power and Bonus Damage to champions and turrets.,"Consume Grants 50 Ability Power and 15% Mana Regen for 3 minutes. While active, damaging a champion or turret deals 25 bonus true damage (5s against champions).",500,500,200,True,"Consumable, ManaRegen, SpellDamage",,images/items/elixir_of_sorcery.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/autoatlas/smallicons/2139_elixirofsorcery_64px.milkshake_env.png
